hash,key
218444191,ammo_rifle
357983224,ammo_pipebomb
527765612,ammo_space_rocket
826266432,ammo_grenadelauncher_smoke
843865465,ammo_snowlauncher
1003267566,ammo_grenadelauncher
1003688881,ammo_grenade
1003730930,ammo_acidpackage
1117307028,ammo_bird_crap
1173416293,ammo_flaregun
1198741878,ammo_plane_rocket
1285032059,ammo_sniper
1322889087,ammo_railgunxm3
1359393852,ammo_fireextinguisher
1411692055,ammo_stickybomb
1446246869,ammo_molotov
1618528319,ammo_hazardcan
1669062227,ammo_arena_homing_missile
1742569970,ammo_rpg
1788949567,ammo_mg
1808594799,ammo_flare
1820140472,ammo_smg
1950175060,ammo_pistol
1963932634,ammo_fertilizercan
1964004553,ammo_tranquilizer
2034517757,ammo_railgun
-2112339603,ammo_snowball
-1878508229,ammo_shotgun
-1857257158,ammo_stinger
-1726673363,ammo_hominglauncher
-1686864220,ammo_bzgas
-1614428030,ammo_minigun
-1526023308,ammo_raypistol
-1474608608,ammo_tank
-1372674932,ammo_enemy_laser
-1356724057,ammo_proxmine
-1356599793,ammo_firework
-1339118112,ammo_stungun
-899475295,ammo_petrolcan
-435287898,ammo_smokegrenade
-237025091,ammo_emplauncher
-165357558,ammo_player_laser
-19235536,ammo_sniper_remote
-6986138,ammo_ball
