hash,key
0x0D05319F,ammo_rifle
0x155663F8,ammo_pipebomb
0x1F75106C,ammo_space_rocket
0x313FD340,ammo_grenadelauncher_smoke
0x324C5D79,ammo_snowlauncher
0x3BCCA5EE,ammo_grenadelauncher
0x3BD313B1,ammo_grenade
0x3BD3B7F2,ammo_acidpackage
0x4298C094,ammo_bird_crap
0x45F0E965,ammo_flaregun
0x47735976,ammo_plane_rocket
0x4C98087B,ammo_sniper
0x4ED9AF7F,ammo_railgunxm3
0x5106B43C,ammo_fireextinguisher
0x5424B617,ammo_stickybomb
0x5633F9D5,ammo_molotov
0x6078C83F,ammo_hazardcan
0x637BDE53,ammo_arena_homing_missile
0x67DD81F2,ammo_rpg
0x6AA1343F,ammo_mg
0x6BCCF76F,ammo_flare
0x6C7D23B8,ammo_smg
0x743D4F54,ammo_pistol
0x750F3BDA,ammo_fertilizercan
0x751054C9,ammo_tranquilizer
0x794446FD,ammo_railgun
0x8218416D,ammo_snowball
0x90083D3B,ammo_shotgun
0x914C813A,ammo_stinger
0x99150E2D,ammo_hominglauncher
0x9B747EA4,ammo_bzgas
0x9FC5C882,ammo_minigun
0xA50ABB74,ammo_raypistol
0xA81B4220,ammo_tank
0xAE2EA48C,ammo_enemy_laser
0xAF2208A7,ammo_proxmine
0xAF23EE0F,ammo_firework
0xB02EADE0,ammo_stungun
0xCA6318A1,ammo_petrolcan
0xE60E08A6,ammo_smokegrenade
0xF1DF48BD,ammo_emplauncher
0xF624D80A,ammo_player_laser
0xFEDA7D30,ammo_sniper_remote
0xFF956666,ammo_ball
