hash,key
0x0061FEAB,dlc_mp_x17_m_outfit_scuba_21
0x00E7579F,ie_draw_5
0x012432FD,draw_11
0x01465AE0,arena_draw_9
0x01F61AD6,fitted_hood
0x020EAF2E,h3_cloth
0x03D6B041,dlc_mp_luxe_f_jbib_3_0
0x03F07F4C,hair_shrink
0x05CB9F45,glasses
0x062BE456,luxe_sweat
0x07132EAF,h3_draw_8
0x07B5C65C,dlc_mp_beach_f_accs0_4
0x082AA07D,apart_draw_19
0x08532B41,gun_draw_13
0x086366E0,heist_draw_0
0x092AAF8A,heist_draw_12
0x0970B44F,high_roller_tie
0x0BD70779,biker_draw_26
0x0C018AC5,biker_draw_1
0x0C6A63CF,top_hat
0x0E556105,over_jacket
0x0EA0F312,ie_draw_4
0x0ECB259F,luxe_bomb
0x0FB6927F,biker_draw_7
0x0FCAF5B3,heist_draw_9
0x10D9423B,h3_draw_7
0x11C1127D,biker_draw_13
0x127B13D9,biker_draw_17
0x1288D5C6,draw_12
0x1319D76E,silk_robe
0x137604C8,dlc_mp_ie_m_decl_2_0
0x14E0E0C1,x17_draw_3
0x14F3A275,scuba_gear
0x159B376C,tat_decl_no_save
0x1685DA24,dlc_mp_beach_m_feet0_10
0x17595F61,haz_hood
0x17A179AA,heist_gear
0x17B94D0E,arena_draw_17
0x19DFDD3A,battle_draw_2
0x1A540AC5,heist_draw_8
0x1C0E1C72,open_jacket
0x1CB89DAE,smug_draw_1
0x1D38296B,biker_draw_11
0x1D5CCACD,apart_draw_14
0x1D8A6E6C,biker_skull
0x1DBEEBA3,block_earrings
0x1E1D0F31,tux_shirt
0x1F56BE8B,alt_chain
0x1FB12BF9,epsilon_chain
0x200BEAA8,shrink_hair
0x20AA5E89,heist_draw_17
0x2143A8CE,high_roller_shirt
0x21848427,full_face
0x221E6171,heist_draw_14
0x222DB697,dlc_mp_beach_f_lowr111
0x238B39D9,chain
0x23EBB6D2,biker_draw_14
0x2400BD0A,x17_draw_12
0x241C2C4D,hood_hat
0x2429B736,biker_draw_18
0x24EB006B,dlc_mp_ind_f_jbib_1_1
0x2582C55E,ski_mask
0x269F54C6,alt_special
0x26A70926,tux_pants
0x26A97EB3,h4_cloth
0x26CFD936,tux_vest
0x26FC3F7A,bead_necklace
0x270BBE67,hipster_dress
0x27143E03,biker_draw_21
0x28D427C5,heist_draw_5
