hash,key
0x00675ED7,chimera
0x00ABB0C0,carbonrs
0x0350D1AB,faggio2
0x05283265,bf400
0x11F58A5A,stryder
0x11F76C14,hexer
0x17420102,cliffhanger
0x1ABA13B5,cruiser
0x25676EAF,fcr
0x26321E67,lectro
0x2C2C2324,gargoyle
0x2C509634,sovereign
0x2EF89E46,sanchez
0x30FF0190,defiler
0x34B82784,oppressor
0x40C332A3,manchez2
0x4339CD69,tribike
0x43779C54,bmx
0x4B6C568A,hakuchou
0x58E316C7,sanctus
0x63ABADE7,akuma
0x6882FA73,enduro
0x6ABDF65E,diablous2
0x6D6F8F43,thrust
0x6FACDF31,ratbike
0x77934CEE,daemon
0x794CB30C,esskey
0x7B54A9D3,oppressor2
0x7F384994,
0x806B9CC3,bagger
0x81E38F7F,avarus
0x9229E4EB,faggio
0x93F09558,deathbike2
0x9C669788,double
0xA0438767,nightblade
0xA5325278,manchez
0xA960B13E,sanchez2
0xAC4E93C9,daemon2
0xAE12C99C,deathbike3
0xAF599F01,vindicator
0xB328B188,faggio3
0xB67597EC,tribike2
0xC3D7C72B,zombiea
0xC9CEAF06,pcj
0xCABD11E8,ruffian
0xCADD5D2D,bati2
0xCE23D3BF,fixter
0xD2D5E00E,fcr2
0xDA288376,nemesis
0xDB20A373,wolfsbane
0xDBA9DBFC,vortex
0xDE05FB87,zombieb
0xE7D2A16E,shotaro
0xE823FB48,tribike3
0xF0C2A91F,hakuchou2
0xF1B44F44,diablous
0xF4E1AA15,scorcher
0xF683EACA,innovation
0xF79A00F7,vader
0xF9300CC5,bati
0xFDEFAEC3,policeb
0xFE5F0722,deathbike
