hash	key(s)
0x00007669	mp1_gen9_exclusive_gen_bs
0x0000D0CD	packed_mp_veh_secondary_colour_group_v258
0x000157D7	mp0_discount_hsw_mod20
0x00016F17	vem_colour_1_mct_metallic_black_graphite_t24_v1
0x0001C468	dlc_mp_low_f_jbib_7_0
0x000269EB	ob_drinking_shots
0x00027914	m_cl_clo_indm_l_0_2_t4_v1
0x0002940A	cash_reward_all_rounder
0x0002BE56	smug_male_and_female_masks_black_broker_face_bandana
0x0002D160	mp1_dsp_ctl_played_bit_set
0x000310CE	vem_insurance_intruder
0x0003206D	f_cl_clo_bif_decl_25_t100_v0
0x0003219B	m_cl_clo_h3m_ph_0_1_t14_v1
0x0003566E	mp0_lfetime_ie_mission_earnings
0x00058268	mp0_mpsv_flags_148
0x0005A9BF	mp1_dlc22023pstat_int29
0x0005CB35	vem_chassis_8_t4_v35
0x0005D6E6	packed_mp_veh_mod_idx_4_v352
0x0005EFCC	dlc_mp_gr_m_jbib_8_15
0x00062B85	mp0_dlc22023pstat_int443
0x00065FF5	m_cl_clo_grm_b_0_18_t1_v1
0x00066DF5	m_cl_clo_awm_u_3_4_t11_v1
0x0006BE7C	f_cl_outfit_clo_ief_o_8_t12_v0_cesp
0x0006CFBE	ba_prop_glass_garage_opaque
0x00079D7F	mp0_impexppstat_int153
0x0007C187	mp1_businessbatpstat_int52
0x00082D64	packed_mp_veh_mod_idx_14_v328
0x00085058	sp1_helis_exploded
0x00089CA1	dlc_mp_ar_f_jbib_1_9
0x0008C7BC	m_cl_clo_vwm_u_19_11_t11_v1
0x00096FD1	f_cl_clo_hstf_s_6_5_t8_v2
0x0009B3ED	exec_office_money_piles_threshold1
0x0009C957	biker_uppers_camo_sports_biker
0x0009C9E4	v_res_cctv
0x000AB628	ch3_lod_emissive1_slod3
0x000B1625	m24_1_prop_m41_life_pstr_01a
0x000B6C6D	mp1_car_sold_time_5
0x000B75B9	prop_plate_02
0x000B7A17	vem_supermod_3_11_t44_v10
0x000BAF7E	dlc_mp_stunt_f_special_0_4
0x000C3E49	m_cl_l_fmm_9_2_t4_v0
0x000CC03E	f_cl_clo_h3f_ph_6_0_t14_v1
0x000DFE37	m_cl_clo_vwm_pw_2_1_t14_v1
0x000E8BBA	dlc_mp_sum2_m_jbib_12_6
0x000EA9A3	vem_cmod_neonlay_0_t21_v35
0x000EAF1F	packed_mp_veh_livery2_0_v127
0x000F51BF	dlc_mp_sum2_m_pears_0_9
0x000F72FE	packed_mp_veh_mod_idx_s_2_v188
0x0010A2D5	m_cl_clo_sbm_l_3_2_t4_v1
0x0010D03E	packed_mp_veh_livery_0_v149
0x001162EF	m_cl_clo_sum_u_14_18_t11_v1
0x001181F7	individual_clothing_sale_hash_labels_459
0x0011B2E3	mp0_businessbatpstat_int32
0x0012479E	vem_colour_1_mct_matte_might_purple_t24_v1
0x001289AD	vem_smod3_whlv126_t66_v3
0x0012D219	mp0_char_kit_fm_purchase12
0x001368C2	f_ta_tat_bus_f_006_t0_v0
0x00136D19	packed_mp_veh_mod_idx_s_23_v370
0x0013CE16	packed_mp_veh_mod_idx_7_v106
0x00147EDA	dlc_mp_ie_m_jbib_10_14
0x0014A7A5	mp1_is_char_in_speccam_miss
0x0014A8AA	vem_colour_extra_1_mct_metallic_red_t24_v0
0x0014DCBB	dlc_mp_x17_f_special_9_0
0x0014E882	mp0_dlc_apparel_acquired_279
0x0015B614	impexp_uppers_gray_sleeveless_hoodie
0x0015E70D	biker_wheelie_min_players
0x00161B2B	vem_colour_extra_1_mct_metals_gold_p_t24_v4
0x00162AC3	packed_mp_veh_colour2_0_v107
0x00162FCD	fbi4_prep3
0x0016599A	packed_mp_veh_mod_idx_s_17_v27
0x00167A31	m_cl_clo_iem_l_4_6_t4_v1
0x0016A64E	mp1_stngnmp_enemy_kills
0x0016BFC9	dlc_mp_x17_m_special_9_16
0x0016EFE9	dlc_mp_smug_m_jbib_7_17
0x0017E1CB	vem_colour_2_mct_classic_torino_red_t25_v4
0x00181071	dlc_mp_heist_m_berd_18_4
0x00181082	mp1_monster5_kin_enemy_kills
0x00182EBD	impexp_garage_level2_cost
0x0018A490	packed_mp_veh_mod_idx_1_v229
0x0018EC7E	sf_mpapyacht_glass04
0x0019078C	dlc_mp_ie_m_jbib_7_25
0x0019D5B6	mba_colour_9_t0_v0
0x0019E7FD	ih_black_and_lime_strapz_vest
0x001A1A19	f_cl_f_fmf_7_0_t6_v0
0x001A1CF9	packed_mp_veh_primary_colour_group_v301
0x001A2D20	packed_mp_veh_mod_idx_23_v115
0x001A56E4	m_cl_clo_smm_ph_2_7_t14_v1
0x001AD0CE	packed_mp_veh_mod_idx_12_v338
0x001B0ED5	m24_2_prop_am_fence_bamboo_med
0x001B0F71	f_cl_outfit_clo_x6f_o_o_4_t12_v0
0x001BABAC	packed_mp_veh_mod_idx_s_19_v14
0x001BE0F5	packed_mp_veh_mod_idx_s_13_v344
0x001C8374	dlc_mp_fixer_f_legs_0_23
0x001DDB0E	individual_clothing_sale_hash_labels_340
0x001E068F	packed_mp_veh_mod_idx_9_v244
0x001E5802	air_quota_5_new_vs
0x001E8657	car_meet_prize_vehicle_lights_colour
