hash,key
0x05D4E680,mpchristmas2
0x0C48FF06,mpg9ec
0x0C8638BD,mpjanuary2016
0x1E998FD3,mpxmas_604490
0x1F457E3E,mphalloween
0x1F6702A1,mpassault
0x30657C67,mphipster
0x3853FD87,mpbiker
0x40C7BCBD,mpexecutive
0x4174375C,mpchristmas2017
0x55292CC7,mppilot
0x56F49899,mpbeach
0x5D57340C,mpvalentines2
0x61322A35,mplowrider
0x6C3AC5A8,mpsum
0x72DE9A30,mpchristmas2018
0x7B367103,mpgunrunning
0x7F180595,mpsecurity
0x81B17DDA,mpapartment
0x863B3004,mpvinewood
0x8CD51A8F,mpheist
0x8F13E1D8,mplowrider2
0x90AC398C,mpsmuggler
0x9AB941C0,mpluxe
0x9B328228,mpindependence
0xADC8E0FF,mpspecialraces
0xB319EA37,spupgrade
0xB6586FF8,mpvalentines
0xB9A27773,mpstunt
0xC40B8B70,mplts
0xC698596D,mpbusiness
0xC6DCE5AD,mpbattle
0xC6F11B25,mpimportexport
0xCB5AB7EA,mptuner
0xDB1A1B31,mpheist3
0xF2074913,mpheist4
0xF3D281F4,mpbusiness2
0xF83EC19E,mpluxe2
