hash,key
295054921,annihilator2
353883353,polmav
710198397,supervolito
744705981,frogger
745926877,buzzard2
788747387,buzzard
837858166,annihilator
1044954915,skylift
1075432268,swift2
1181327175,akula
1229411063,seasparrow2
1394036463,cargobob3
1489874736,thruster
1543134283,valkyrie2
1593933419,seasparrow3
1621617168,cargobob2
1949211328,frogger2
2025593404,cargobob4
2310691317,havok
2449479409,volatus
2623428164,supervolito2
2634305738,maverick
2694714877,valkyrie
3568198617,seasparrow
3681241380,blimp2
3955379698,swift
3987008919,blimp3
4143991942,blimp
4212341271,savage
4244420235,cargobob
4252008158,hunter
