hash,key
0x11962E49,annihilator2
0x1517D4D9,polmav
0x2A54C47D,supervolito
0x2C634FBD,
0x2C75F0DD,buzzard2
0x2F03547B,buzzard
0x31F0B376,annihilator
0x3E48BF23,skylift
0x4019CB4C,swift2
0x46699F47,akula
0x494752F7,seasparrow2
0x53174EEF,
0x58CDAF30,thruster
0x5BFA5C4B,
0x5F017E6B,seasparrow3
0x60A7EA10,cargobob2
0x742E9AC0,frogger2
0x78BC1A3C,
0x89BA59F5,havok
0x920016F1,volatus
0x9C5E5644,supervolito2
0x9D0450CA,maverick
0xA09E15FD,valkyrie
0xD4AE63D9,seasparrow
0xDB6B4924,blimp2
0xEBC24DF2,swift
0xEDA4ED97,blimp3
0xF7004C86,blimp
0xFB133A17,savage
0xFCFCB68B,cargobob
0xFD707EDE,hunter
