hash,key
20321318,action_audio_rifle
95647654,action_audio_vehicle_handgun
120038242,action_audio_vehicle_smg
275979149,action_audio_money_purse
296213261,action_audio_melee
333289930,action_audio_vehicle_sawnoff
343490690,action_audio_vehicle_projectile
393569582,action_audio_vehicle_health
463599812,action_audio_money_variable
690157062,action_audio_money_med_bag
709016101,action_padshake_incar
1325771340,action_audio_paper_bag
1340461715,action_audio_rpg
1353001429,action_audio_security_case
1423041227,action_audio_health_standard
1531537340,action_audio_ammo_bullet_mp
1731787070,action_group_onfoot
1780774806,action_audio_jerrycan
1799254623,action_audio_money_dep_bag
1914445488,action_audio_armour_standard
2122258644,action_audio_money_case
2180216964,action_audio_projectile
2215013172,action_audio_vehicle_molotov
2236572479,action_audio_shotgun
2702537462,action_padshake_onfoot
2728720034,action_audio_health_snack
2944117407,action_audio_stungun
3089887767,action_audio_custom
3179046103,action_audio_handgun
3458748697,action_audio_parachute
3952141293,action_audio_vehicle_armour
3967921745,action_audio_molotov
4248622634,action_group_incar
