hash,key
12824223,ex_prop_crate_clothing_bc
21331302,ex_prop_crate_biohazard_bc
58828128,
60045683,ex_prop_crate_elec_bc
66496783,
90805875,prop_mil_crate_01
133630620,
155886031,
163907251,
167523060,sm_prop_smug_crate_l_antiques
172827882,
185308833,gr_prop_gr_2s_drillcrate_01a
187978556,
212795208,ex_prop_crate_closed_bc
247892203,prop_drop_crate_01
248872646,
252936009,
279501755,prop_crate_11a
304821544,ex_prop_crate_gems_sc
319657375,
320416020,sm_prop_smug_crate_m_hazard
336719957,xm_prop_crates_rifles_03a
356451341,
415149220,
422658457,w_mg_minigun
427643045,
434102459,
437412629,
440723308,sm_prop_smug_crate_m_antiques
443999472,gr_prop_gr_crates_rifles_04a
446117594,
447006374,xm_prop_moderncrate_xplv_01
481432069,prop_mb_crate_01a
495669334,hei_prop_carrier_crate_01b_s
497264075,sm_prop_smug_rsply_crate01a
505870426,prop_drop_crate_01_set
528555233,
539422188,
558857511,
562429577,ex_prop_crate_oegg
575569670,prop_crate_11b
577194190,
577983279,ex_prop_crate_watch
578372977,
579657914,gr_prop_gr_3s_drillcrate_01a
588496643,ex_prop_crate_wlife_sc
598253792,
601745115,
614273858,xm_prop_rsply_crate04a
654562429,ex_prop_crate_gems_bc
656641197,hei_prop_carrier_crate_01b
667132474,
690570889,sm_prop_smug_crate_l_hazard
697352466,
704660092,
725420132,ex_prop_crate_freel
725611562,
756021372,
758360035,prop_drop_crate_01_set2
772559902,
788248216,prop_mb_crate_01b
797797701,ex_prop_crate_med_bc
798951501,
822761881,
854813903,
880595258,
886033073,sm_prop_smug_crate_s_medical
886171930,prop_scrap_2_crate
926762619,ex_prop_crate_xldiam
956623953,
970414739,gr_prop_gr_crates_pistols_01a
971393508,gr_prop_gr_mill_crate_01a
994764049,
1016837103,ex_prop_crate_narc_bc
1025210927,
1054352436,ex_prop_crate_med_sc
1057918179,ex_prop_crate_art_bc
1062737045,prop_crate_float_1
1075102988,ex_prop_crate_biohazard_sc
1075487129,sm_prop_smug_crate_m_narc
1080468844,sm_prop_smug_crate_s_jewellery
1083697584,
1090659501,
1102352397,ng_proc_crate_04a
1118384618,
1133202051,gr_prop_gr_rsply_crate04a
1138020438,prop_crate_01a
1155185333,gr_prop_gr_3stackcrate_01a
1158536477,sm_prop_smug_crate_m_jewellery
1195840658,prop_crate_07a
1218252530,ng_proc_crate_03a
1228641767,prop_crate_04a
1248987568,sm_prop_smug_crate_s_tobacco
1262767548,prop_cons_crate
1270560417,
1279173640,
1281731670,gr_prop_gr_crate_mag_01a
1291676514,gr_prop_gr_v_mill_crate_01a
1298470051,
1336655105,
1338392374,
1339867730,sm_prop_smug_crate_l_jewellery
1340115820,sm_prop_smug_rsply_crate02a
1370563384,prop_watercrate_01
1397410834,ex_prop_crate_art_02_sc
1418451947,
1419829219,sm_prop_smug_crate_s_antiques
1430410579,
1433923164,gr_prop_gr_rsply_crate04b
1448874696,
1452552716,prop_crate_06a
1483336526,
1493302556,
1495915483,gr_prop_gr_2stackcrate_01a
1502702711,prop_crate_10a
1519332782,v_res_fh_crateclosed
1524744766,ex_prop_crate_highend_pharma_sc
1557324266,ex_prop_crate_minig
1575657223,
1603932804,
1640915270,
1669585364,
1689716886,gr_prop_gr_bulletscrate_01a
1715697304,
1718303569,
1734726491,prop_crate_05a
1755369388,hei_heist_flecca_crate
1776043012,xm_prop_crates_sam_01a
1779489719,prop_cs_lester_crate
1790162299,ex_prop_crate_ammo_bc
1794536474,
1815664890,ex_prop_crate_art_02_bc
1863514296,ex_prop_crate_narc_sc
1872828871,prop_cratepile_02a
1877891248,prop_drop_armscrate_01b
1885839156,hei_prop_carrier_crate_01a
1892623307,prop_lev_crate_01
1914690987,ex_prop_crate_pharma_bc
1915002422,ex_prop_crate_furjacket_sc
1930051531,
1955543594,
2005215959,prop_cratepile_03a
2009246193,prop_crate_11e
2014503631,ex_prop_crate_bull_bc_02
2027909842,prop_crate_02a
2031389708,
2053214251,gr_prop_gr_drill_crate_01a
2055492359,ex_prop_crate_ammo_sc
2078243314,prop_crate_03a
2092857693,ex_prop_crate_closed_ms
-2125367872,
-2104190829,ex_prop_crate_jewels_sc
-2084301080,
-2079765935,gr_prop_gr_2s_millcrate_01a
-2073573168,prop_cratepile_07a
-2073232532,ex_prop_crate_tob_sc
-2061890453,
-2049115744,
-2043162923,
-2037094101,sm_prop_smug_crate_s_hazard
-2033482115,ex_prop_crate_wlife_bc
-2000428138,sm_prop_smug_crate_s_fake
-1996578712,sm_prop_smug_crate_m_medical
-1987115659,
-1964997422,
-1956474755,ex_prop_crate_closed_sc
-1920611843,
-1913949042,prop_ld_crate_lid_01
-1885873988,prop_cratepile_01a
-1860751048,
-1853019218,ex_prop_crate_expl_bc
-1847286231,
-1823263496,hei_prop_cash_crate_empty
-1821684485,sm_prop_smug_crate_l_narc
-1821585180,
-1817226762,ex_prop_crate_jewels_racks_sc
-1809990107,v_ind_cfcrate3
-1799863724,
-1787668082,prop_ld_crate_01
-1787068858,
-1759316523,
-1748158271,prop_crate_09a
-1743955451,
-1740531786,
-1725985738,
-1713985235,
-1712051648,
-1690907364,
-1676820638,
-1673979170,gr_prop_gr_rsply_crate03a
-1673688289,prop_fruit_plas_crate_01
-1666779307,
-1655753417,ex_prop_crate_art_sc
-1632408413,
-1628917549,
-1610016543,
-1600440298,
-1590104964,
-1541347408,
-1537242760,sm_prop_smug_crate_m_tobacco
-1536085995,
-1522674587,
-1434473216,sm_prop_smug_crate_m_fake
-1413461985,
-1411164572,
-1391684895,
-1374736588,hei_prop_carrier_crate_01a_s
-1356890979,
-1349621981,prop_crate_08a
-1319782883,prop_drop_armscrate_01
-1272257643,
-1270906188,sm_prop_smug_crate_s_narc
-1249748547,
-1243861868,v_ind_cf_crate1
-1227143673,ex_prop_crate_furjacket_bc
-1222709082,sm_prop_smug_crate_l_bones
-1187930949,gr_prop_gr_crates_rifles_01a
-1166401535,v_med_apecratelrg
-1162517469,
-1155429518,gr_prop_gr_3s_millcrate_01a
-1155316904,ex_prop_crate_money_sc
-1134290890,
-1129076059,ex_prop_crate_highend_pharma_bc
-1122773000,xm_prop_smug_crate_s_medical
-1117639471,sm_prop_smug_crate_l_fake
-1113366436,
-1109001010,ng_proc_crate_02a
-1092569044,prop_crate_11d
-1092199849,
-1090159818,
-1082664836,
-994740387,
-994309865,ex_prop_crate_closed_mw
-986153641,gr_prop_gr_cratespile_01a
-967790293,
-955159266,gr_prop_gr_rsply_crate02a
-939897404,prop_cratepile_05a
-904367941,
-897864847,
-890658845,sm_prop_smug_crate_01a
-887893374,
-866081714,
-863733544,gr_prop_gr_rsply_crate01a
-840425311,gr_prop_gr_crates_sam_01a
-832246005,v_ind_cf_crate
-824154829,ex_prop_crate_pharma_sc
-808314695,
-782846900,
-752487763,
-748199017,hei_prop_cash_crate_half_full
-746113019,prop_cratepile_07a_l1
-731494164,ex_prop_crate_elec_sc
-720584521,ng_proc_crate_01a
-718674754,prop_crate_11c
-701336157,xm_prop_crates_rifles_01a
-681938663,
-666179646,prop_mb_crate_01a_set
-653303203,bkr_prop_crate_set_01a
-650664471,
-637285175,
-628220457,gr_prop_gr_crate_pistol_02a
-625311882,xm_prop_rsply_crate04b
-624092254,v_med_apecrate
-618430883,xm_prop_crates_rifles_02a
-591115459,
-548227459,
-508960047,sm_prop_smug_crate_l_medical
-496161910,sm_prop_smug_crate_m_01a
-495810123,ex_prop_crate_shide
-490398359,gr_prop_gr_crates_weapon_mix_01a
-473775529,
-471632408,gr_prop_gr_crate_gun_01a
-464691988,prop_cash_crate_01
-443759796,xm_prop_crates_pistols_01a
-403635899,gr_prop_gr_crates_rifles_03a
-398009968,
-396554866,
-333302011,ex_prop_crate_bull_sc_02
-324063008,sm_prop_smug_crate_l_tobacco
-315914652,
-305076648,ex_prop_crate_expl_sc
-304079717,v_ind_cf_crate2
-301668442,prop_mil_crate_02
-290560280,ex_prop_crate_jewels_racks_bc
-290113036,
-278591439,gr_prop_gr_crates_rifles_02a
-270239139,ex_prop_crate_clothing_sc
-260422691,sm_prop_smug_crate_m_bones
-238480731,v_res_fh_crateopen
-230239317,hei_prop_crate_stack_01
-209571226,xm_prop_crates_rifles_04a
-203821466,
-202161489,
-191938307,gr_prop_gr_crates_weapon_mix_01b
-180453991,
-168587125,xm_prop_vancrate_01a
-155327337,
-128067231,
-109208855,xm_prop_crates_weapon_mix_01a
-82704061,hei_prop_heist_apecrate
-80652213,ex_prop_crate_money_bc
-76137332,ex_prop_crate_jewels_bc
-49487954,sm_prop_smug_crate_s_bones
-36934887,
-19283505,ex_prop_crate_tob_bc
-1958,ex_prop_crate_closed_rw
