hash,key
12824223,ex_prop_crate_clothing_bc
21331302,ex_prop_crate_biohazard_bc
58828128,
60045683,ex_prop_crate_elec_bc
66496783,
90805875,prop_mil_crate_01
133630620,
155886031,
163907251,
167523060,sm_prop_smug_crate_l_antiques
172827882,
185308833,gr_prop_gr_2s_drillcrate_01a
187978556,
212795208,ex_prop_crate_closed_bc
247892203,prop_drop_crate_01
248872646,
252936009,
279501755,prop_crate_11a
304821544,ex_prop_crate_gems_sc
319657375,
320416020,sm_prop_smug_crate_m_hazard
336719957,xm_prop_crates_rifles_03a
356451341,
415149220,
422658457,w_mg_minigun
427643045,
434102459,
437412629,
440723308,sm_prop_smug_crate_m_antiques
443999472,gr_prop_gr_crates_rifles_04a
446117594,
447006374,xm_prop_moderncrate_xplv_01
481432069,prop_mb_crate_01a
495669334,hei_prop_carrier_crate_01b_s
497264075,sm_prop_smug_rsply_crate01a
505870426,prop_drop_crate_01_set
528555233,
539422188,
558857511,
562429577,ex_prop_crate_oegg
575569670,prop_crate_11b
577194190,
577983279,ex_prop_crate_watch
578372977,
579657914,gr_prop_gr_3s_drillcrate_01a
588496643,ex_prop_crate_wlife_sc
598253792,
601745115,
614273858,xm_prop_rsply_crate04a
654562429,ex_prop_crate_gems_bc
656641197,hei_prop_carrier_crate_01b
667132474,
690570889,sm_prop_smug_crate_l_hazard
697352466,
704660092,
725420132,ex_prop_crate_freel
725611562,
756021372,
758360035,prop_drop_crate_01_set2
772559902,
788248216,prop_mb_crate_01b
797797701,ex_prop_crate_med_bc
798951501,
822761881,
854813903,
880595258,
886033073,sm_prop_smug_crate_s_medical
886171930,prop_scrap_2_crate
926762619,ex_prop_crate_xldiam
956623953,
970414739,gr_prop_gr_crates_pistols_01a
971393508,gr_prop_gr_mill_crate_01a
994764049,
1016837103,ex_prop_crate_narc_bc
1025210927,
1054352436,ex_prop_crate_med_sc
1057918179,ex_prop_crate_art_bc
1062737045,prop_crate_float_1
1075102988,ex_prop_crate_biohazard_sc
1075487129,sm_prop_smug_crate_m_narc
1080468844,sm_prop_smug_crate_s_jewellery
1083697584,
1090659501,
1102352397,ng_proc_crate_04a
1118384618,
1133202051,gr_prop_gr_rsply_crate04a
1138020438,prop_crate_01a
1155185333,gr_prop_gr_3stackcrate_01a
1158536477,sm_prop_smug_crate_m_jewellery
1195840658,prop_crate_07a
1218252530,ng_proc_crate_03a
1228641767,prop_crate_04a
1248987568,sm_prop_smug_crate_s_tobacco
1262767548,prop_cons_crate
1270560417,
1279173640,
1281731670,gr_prop_gr_crate_mag_01a
1291676514,gr_prop_gr_v_mill_crate_01a
1298470051,
1336655105,
1338392374,
1339867730,sm_prop_smug_crate_l_jewellery
1340115820,sm_prop_smug_rsply_crate02a
1370563384,prop_watercrate_01
1397410834,ex_prop_crate_art_02_sc
1418451947,
1419829219,sm_prop_smug_crate_s_antiques
1430410579,
1433923164,gr_prop_gr_rsply_crate04b
1448874696,
1452552716,prop_crate_06a
1483336526,
1493302556,
1495915483,gr_prop_gr_2stackcrate_01a
1502702711,prop_crate_10a
1519332782,v_res_fh_crateclosed
1524744766,ex_prop_crate_highend_pharma_sc
1557324266,ex_prop_crate_minig
1575657223,
1603932804,
1640915270,
1669585364,
1689716886,gr_prop_gr_bulletscrate_01a
1715697304,
1718303569,
1734726491,prop_crate_05a
1755369388,hei_heist_flecca_crate
1776043012,xm_prop_crates_sam_01a
1779489719,prop_cs_lester_crate
1790162299,ex_prop_crate_ammo_bc
1794536474,
1815664890,ex_prop_crate_art_02_bc
1863514296,ex_prop_crate_narc_sc
1872828871,prop_cratepile_02a
1877891248,prop_drop_armscrate_01b
1885839156,hei_prop_carrier_crate_01a
1892623307,prop_lev_crate_01
1914690987,ex_prop_crate_pharma_bc
1915002422,ex_prop_crate_furjacket_sc
1930051531,
1955543594,
2005215959,prop_cratepile_03a
2009246193,prop_crate_11e
2014503631,ex_prop_crate_bull_bc_02
2027909842,prop_crate_02a
2031389708,
2053214251,gr_prop_gr_drill_crate_01a
2055492359,ex_prop_crate_ammo_sc
2078243314,prop_crate_03a
2092857693,ex_prop_crate_closed_ms
2169599424,
2190776467,ex_prop_crate_jewels_sc
2210666216,
2215201361,gr_prop_gr_2s_millcrate_01a
2221394128,prop_cratepile_07a
2221734764,ex_prop_crate_tob_sc
2233076843,
2245851552,
2251804373,
2257873195,sm_prop_smug_crate_s_hazard
2261485181,ex_prop_crate_wlife_bc
2294539158,sm_prop_smug_crate_s_fake
2298388584,sm_prop_smug_crate_m_medical
2307851637,
2329969874,
2338492541,ex_prop_crate_closed_sc
2374355453,
2381018254,prop_ld_crate_lid_01
2409093308,prop_cratepile_01a
2434216248,
2441948078,ex_prop_crate_expl_bc
2447681065,
2471703800,hei_prop_cash_crate_empty
2473282811,sm_prop_smug_crate_l_narc
2473382116,
2477740534,ex_prop_crate_jewels_racks_sc
2484977189,v_ind_cfcrate3
2495103572,
2507299214,prop_ld_crate_01
2507898438,
2535650773,
2546809025,prop_crate_09a
2551011845,
2554435510,
2568981558,
2580982061,
2582915648,
2604059932,
2618146658,
2620988126,gr_prop_gr_rsply_crate03a
2621279007,prop_fruit_plas_crate_01
2628187989,
2639213879,ex_prop_crate_art_sc
2662558883,
2666049747,
2684950753,
2694526998,
2704862332,
2753619888,
2757724536,sm_prop_smug_crate_m_tobacco
2758881301,
2772292709,
2860494080,sm_prop_smug_crate_m_fake
2881505311,
2883802724,
2903282401,
2920230708,hei_prop_carrier_crate_01a_s
2938076317,
2945345315,prop_crate_08a
2975184413,prop_drop_armscrate_01
3022709653,
3024061108,sm_prop_smug_crate_s_narc
3045218749,
3051105428,v_ind_cf_crate1
3067823623,ex_prop_crate_furjacket_bc
3072258214,sm_prop_smug_crate_l_bones
3107036347,gr_prop_gr_crates_rifles_01a
3128565761,v_med_apecratelrg
3132449827,
3139537778,gr_prop_gr_3s_millcrate_01a
3139650392,ex_prop_crate_money_sc
3160676406,
3165891237,ex_prop_crate_highend_pharma_bc
3172194296,xm_prop_smug_crate_s_medical
3177327825,sm_prop_smug_crate_l_fake
3181600860,
3185966286,ng_proc_crate_02a
3202398252,prop_crate_11d
3202767447,
3204807478,
3212302460,
3300226909,
3300657431,ex_prop_crate_closed_mw
3308813655,gr_prop_gr_cratespile_01a
3327177003,
3339808030,gr_prop_gr_rsply_crate02a
3355069892,prop_cratepile_05a
3390599355,
3397102449,
3404308451,sm_prop_smug_crate_01a
3407073922,
3428885582,
3431233752,gr_prop_gr_rsply_crate01a
3454541985,gr_prop_gr_crates_sam_01a
3462721291,v_ind_cf_crate
3470812467,ex_prop_crate_pharma_sc
3486652601,
3512120396,
3542479533,
3546768279,hei_prop_cash_crate_half_full
3548854277,prop_cratepile_07a_l1
3563473132,ex_prop_crate_elec_sc
3574382775,ng_proc_crate_01a
3576292542,prop_crate_11c
3593631139,xm_prop_crates_rifles_01a
3613028633,
3628787650,prop_mb_crate_01a_set
3641664093,bkr_prop_crate_set_01a
3644302825,
3657682121,
3666746839,gr_prop_gr_crate_pistol_02a
3669655414,xm_prop_rsply_crate04b
3670875042,v_med_apecrate
3676536413,xm_prop_crates_rifles_02a
3703851837,
3746739837,
3786007249,sm_prop_smug_crate_l_medical
3798805386,sm_prop_smug_crate_m_01a
3799157173,ex_prop_crate_shide
3804568937,gr_prop_gr_crates_weapon_mix_01a
3821191767,
3823334888,gr_prop_gr_crate_gun_01a
3830275308,prop_cash_crate_01
3851207500,xm_prop_crates_pistols_01a
3891331397,gr_prop_gr_crates_rifles_03a
3896957328,
3898412430,
3961665285,ex_prop_crate_bull_sc_02
3970904288,sm_prop_smug_crate_l_tobacco
3979052644,
3989890648,ex_prop_crate_expl_sc
3990887579,v_ind_cf_crate2
3993298854,prop_mil_crate_02
4004407016,ex_prop_crate_jewels_racks_bc
4004854260,
4016375857,gr_prop_gr_crates_rifles_02a
4024728157,ex_prop_crate_clothing_sc
4034544605,sm_prop_smug_crate_m_bones
4056486565,v_res_fh_crateopen
4064727979,hei_prop_crate_stack_01
4085396070,xm_prop_crates_rifles_04a
4091145830,
4092805807,
4103028989,gr_prop_gr_crates_weapon_mix_01b
4114513305,
4126380171,xm_prop_vancrate_01a
4139639959,
4166900065,
4185758441,xm_prop_crates_weapon_mix_01a
4212263235,hei_prop_heist_apecrate
4214315083,ex_prop_crate_money_bc
4218829964,ex_prop_crate_jewels_bc
4245479342,sm_prop_smug_crate_s_bones
4258032409,
4275683791,ex_prop_crate_tob_bc
4294965338,ex_prop_crate_closed_rw
