hash,key
0x00C3AE9F,ex_prop_crate_clothing_bc
0x01457D66,ex_prop_crate_biohazard_bc
0x0381A560,
0x03943973,ex_prop_crate_elec_bc
0x03F6A90F,
0x05699673,prop_mil_crate_01
0x07F70A9C,
0x094AA1CF,
0x09C506B3,
0x09FC32F4,sm_prop_smug_crate_l_antiques
0x0A4D24EA,
0x0B0B96A1,gr_prop_gr_2s_drillcrate_01a
0x0B34533C,
0x0CAEFF48,ex_prop_crate_closed_bc
0x0EC688EB,prop_drop_crate_01
0x0ED57EC6,
0x0F137F49,
0x10A8DBBB,prop_crate_11a
0x122B3528,ex_prop_crate_gems_sc
0x130D959F,
0x13192914,sm_prop_smug_crate_m_hazard
0x1411F055,xm_prop_crates_rifles_03a
0x153F040D,
0x18BEACA4,
0x19314199,w_mg_minigun
0x197D50A5,
0x19DFE0BB,
0x1A126315,
0x1A44E76C,sm_prop_smug_crate_m_antiques
0x1A76E4F0,gr_prop_gr_crates_rifles_04a
0x1A9736DA,
0x1AA4C6A6,xm_prop_moderncrate_xplv_01
0x1CB21205,prop_mb_crate_01a
0x1D8B5056,hei_prop_carrier_crate_01b_s
0x1DA3A5CB,sm_prop_smug_rsply_crate01a
0x1E26F85A,prop_drop_crate_01_set
0x1F811CE1,
0x2026EDEC,
0x214F7D27,
0x2185FE89,ex_prop_crate_oegg
0x224E7F06,prop_crate_11b
0x226748CE,
0x2273532F,ex_prop_crate_watch
0x22794571,
0x228CE0BA,gr_prop_gr_3s_drillcrate_01a
0x2313BF03,ex_prop_crate_wlife_sc
0x23A8A0E0,
0x23DDE6DB,
0x249D1342,xm_prop_rsply_crate04a
0x2703D47D,ex_prop_crate_gems_bc
0x27238CAD,hei_prop_carrier_crate_01b
0x27C3A23A,
0x29294689,sm_prop_smug_crate_l_hazard
0x2990C112,
0x2A00427C,
0x2B3D0864,ex_prop_crate_freel
0x2B3FF42A,
0x2D0FF87C,
0x2D33A7E3,prop_drop_crate_01_set2
0x2E0C541E,
0x2EFBB698,prop_mb_crate_01b
0x2F8D6D45,ex_prop_crate_med_bc
0x2F9F084D,
0x310A5999,
0x32F36CCF,
0x347CD13A,
0x34CFCAB1,sm_prop_smug_crate_s_medical
0x34D1E91A,prop_scrap_2_crate
0x373D467B,ex_prop_crate_xldiam
0x3904EC51,
0x39D75A93,gr_prop_gr_crates_pistols_01a
0x39E649E4,gr_prop_gr_mill_crate_01a
0x3B4AE511,
0x3C9BB3EF,ex_prop_crate_narc_bc
0x3D1B7A2F,
0x3ED82434,ex_prop_crate_med_sc
0x3F0E8CE3,ex_prop_crate_art_bc
0x3F581495,prop_crate_float_1
0x4014C50C,ex_prop_crate_biohazard_sc
0x401AA199,sm_prop_smug_crate_m_narc
0x4066A56C,sm_prop_smug_crate_s_jewellery
0x4097E9B0,
0x410224AD,
0x41B4900D,ng_proc_crate_04a
0x42A931EA,
0x438B4A83,gr_prop_gr_rsply_crate04a
0x43D4D056,prop_crate_01a
0x44DABAB5,gr_prop_gr_3stackcrate_01a
0x450DDD1D,sm_prop_smug_crate_m_jewellery
0x47471492,prop_crate_07a
0x489D0EF2,ng_proc_crate_03a
0x493B95E7,prop_crate_04a
0x4A7209B0,sm_prop_smug_crate_s_tobacco
0x4B444DBC,prop_cons_crate
0x4BBB36A1,
0x4C3EA408,
0x4C65AC56,gr_prop_gr_crate_mag_01a
0x4CFD6B62,gr_prop_gr_v_mill_crate_01a
0x4D6514A3,
0x4FABBD01,
0x4FC63F36,
0x4FDCC252,sm_prop_smug_crate_l_jewellery
0x4FE08B6C,sm_prop_smug_rsply_crate02a
0x51B12338,prop_watercrate_01
0x534ACC12,ex_prop_crate_art_02_sc
0x548BDBEB,
0x54A0DFE3,sm_prop_smug_crate_s_antiques
0x55425553,
0x5577EE5C,gr_prop_gr_rsply_crate04b
0x565C12C8,
0x5694320C,prop_crate_06a
0x5869EB4E,
0x5901FD1C,
0x5929DBDB,gr_prop_gr_2stackcrate_01a
0x59916C77,prop_crate_10a
0x5A8F2DAE,v_res_fh_crateclosed
0x5AE1C23E,ex_prop_crate_highend_pharma_sc
0x5CD2E1EA,ex_prop_crate_minig
0x5DEA9F07,
0x5F9A1284,
0x61CE6146,
0x6383D9D4,
0x64B70896,gr_prop_gr_bulletscrate_01a
0x66437698,
0x666B3B51,
0x6765D35B,prop_crate_05a
0x68A0CFAC,hei_heist_flecca_crate
0x69DC4404,xm_prop_crates_sam_01a
0x6A10DBB7,prop_cs_lester_crate
0x6AB3B57B,ex_prop_crate_ammo_bc
0x6AF6741A,
0x6C38D8FA,ex_prop_crate_art_02_bc
0x6F12F8B8,ex_prop_crate_narc_sc
0x6FA119C7,prop_cratepile_02a
0x6FEE58B0,prop_drop_armscrate_01b
0x70679F34,hei_prop_carrier_crate_01a
0x70CF23CB,prop_lev_crate_01
0x721FDDAB,ex_prop_crate_pharma_bc
0x72249E36,ex_prop_crate_furjacket_sc
0x730A3FCB,
0x748F3A2A,
0x77852AD7,prop_cratepile_03a
0x77C2A9F1,prop_crate_11e
0x7812E2CF,ex_prop_crate_bull_bc_02
0x78DF72D2,prop_crate_02a
0x79148C0C,
0x7A61902B,gr_prop_gr_drill_crate_01a
0x7A845307,ex_prop_crate_ammo_sc
0x7BDF79F2,prop_crate_03a
0x7CBE795D,ex_prop_crate_closed_ms
0x815175C0,
0x82949893,ex_prop_crate_jewels_sc
0x83C416E8,
0x84094A51,gr_prop_gr_2s_millcrate_01a
0x8467C8D0,prop_cratepile_07a
0x846CFB6C,ex_prop_crate_tob_sc
0x851A0C6B,
0x85DCF9A0,
0x8637CED5,
0x8694692B,sm_prop_smug_crate_s_hazard
0x86CB867D,ex_prop_crate_wlife_bc
0x88C3E396,sm_prop_smug_crate_s_fake
0x88FEA068,sm_prop_smug_crate_m_medical
0x898F0575,
0x8AE084D2,
0x8B62907D,ex_prop_crate_closed_sc
0x8D85C9FD,
0x8DEB748E,prop_ld_crate_lid_01
0x8F97D8BC,prop_cratepile_01a
0x91173138,
0x918D2BAE,ex_prop_crate_expl_bc
0x91E4A629,
0x935334F8,hei_prop_cash_crate_empty
0x936B4CFB,sm_prop_smug_crate_l_narc
0x936CD0E4,
0x93AF51F6,ex_prop_crate_jewels_racks_sc
0x941DBE25,v_ind_cfcrate3
0x94B84254,
0x9572598E,prop_ld_crate_01
0x957B7E46,
0x9722F5D5,
0x97CD38C1,prop_crate_09a
0x980D5A05,
0x984197B6,
0x991F8C36,
0x99D6A92D,
0x99F42A40,
0x9B36CD1C,
0x9C0DBF62,
0x9C391ADE,gr_prop_gr_rsply_crate03a
0x9C3D8B1F,prop_fruit_plas_crate_01
0x9CA6F755,
0x9D4F3537,ex_prop_crate_art_sc
0x9EB36CA3,
0x9EE8B0D3,
