hash,key
15298699,reward_weapon_heavypistol
51791367,reward_health_variable
58509221,reward_weapon_pumpshotgun_mk2
69611553,reward_weapon_mg
70128010,reward_ammo_firework
78435534,reward_health_enter_vehicle
149620025,reward_ammo_pipebomb
158175415,reward_weapon_combatmg_mk2
200370965,reward_weapon_militaryrifle
245358602,reward_ammo_proxmine
289098600,reward_ammo_fertilizercan
348803527,reward_ammo_ceramicpistol
444666107,reward_weapon_hammer
466444833,reward_weapon_bullpupshotgun
539117555,reward_weapon_assaultsmg
550211648,reward_ammo_sawnoffshotgun
562988150,reward_weapon_firework
565349405,reward_ammo_assaultsmg
571190432,reward_weapon_navyrevolver
623103942,reward_weapon_gadgetpistol
628468346,reward_weapon_smg
636088799,reward_weapon_advancedrifle
640175030,reward_ammo_minigun
655274215,reward_ammo_dbshotgun
660717144,reward_ammo_doubleaction
663254897,reward_weapon_machinepistol
683544723,reward_weapon_pistol_mk2
686863037,reward_weapon_smg_mk2
712350450,reward_weapon_appistol
722596829,reward_ammo_compactrifle
733082165,reward_weapon_dagger
739963976,reward_weapon_proxmine
756175870,reward_weapon_minismg
757703101,reward_weapon_assaultshotgun
784645768,reward_weapon_assaultrifle_mk2
785543395,reward_weapon_specialcarbine
803830610,reward_weapon_doubleaction
814348011,reward_weapon_bat
818867620,reward_weapon_gusenberg
837808765,reward_ammo_pistol
853404825,reward_weapon_compactrifle
853894058,reward_weapon_heavysniper_mk2
891391380,reward_ammo_tacticalrifle
894806999,reward_stat_weapon
944196752,reward_stat_health
983166937,reward_weapon_heavysniper
1004820878,reward_weapon_ceramicpistol
1046432850,reward_weapon_grenadelauncher
1057979575,reward_ammo_smokegrenade
1150677350,reward_ammo_combatmg
1180060413,reward_weapon_carbinerifle_mk2
1181245576,reward_ammo_grenade
1188786620,reward_ammo_bullet_mp
1239927582,reward_ammo_appistol
1242241407,reward_ammo_emplauncher
1245976757,reward_ammo_bullpuprifle
1254941321,reward_money_variable
1270181963,reward_weapon_emplauncher
1273969121,reward_weapon_microsmg
1308750870,reward_vehicle_fix
1330445975,reward_ammo_assaultrifle
1387195105,reward_ammo_precisionrifle
1439302038,reward_weapon_molotov
1440968776,reward_ammo_smg
1485688726,reward_ammo_mg
1488209034,reward_weapon_stone_hatchet
1497116735,reward_weapon_combatpistol
1512313417,reward_weapon_musket
1518015289,reward_weapon_raycarbine
1591690415,reward_weapon_knife
1600540457,reward_weapon_sniperrifle
1615301174,reward_weapon_battleaxe
1630857701,reward_ammo_heavypistol
1640499847,reward_weapon_crowbar
1712927976,reward_weapon_carbinerifle
1725636653,reward_weapon_bullpuprifle_mk2
1735307270,reward_ammo_heavyshotgun
1750685379,reward_weapon_minigun
1757374106,reward_ammo_stickybomb
1814650371,reward_weapon_railgunxm3
1860078748,reward_parachute
1889445453,reward_ammo_railgunxm3
1893940241,reward_ammo_pumpshotgun_enter_vehicle
1938990551,reward_weapon_marksmanrifle_mk2
1941458974,reward_ammo_assaultshotgun
1949310406,reward_ammo_navyrevolver
1949896535,reward_ammo_autoshotgun
1958343281,reward_weapon_hazardcan
1977155896,reward_weapon_petrolcan
1978679761,reward_weapon_stungun_mp
1985759135,reward_weapon_heavyshotgun
2003280330,reward_ammo_hazardcan
2015949200,reward_stat_health_variable
2074895925,reward_weapon_grenade
2087688717,reward_ammo_pistolxm3
2091138695,reward_weapon_pumpshotgun
2109085831,reward_weapon_heavyrifle
2133676403,reward_health
2136100532,reward_weapon_revolver_mk2
-2108823372,reward_weapon_bullpuprifle
-2099267252,reward_ammo_vintagepistol
-2086995195,reward_ammo_gadgetpistol
-2071995543,reward_ammo_combatpistol
-2057200604,reward_armour
-2055945842,reward_weapon_knuckle
-2053931531,reward_ammo_sniperrifle
-2011314286,reward_weapon_marksmanpistol
-1984040983,reward_ammo_pistol50
-1980699270,reward_ammo_compactlauncher
-1920766840,reward_weapon_hatchet
-1882702426,reward_weapon_raypistol
-1881752991,reward_ammo_raypistol
-1793912615,reward_weapon_tacticalrifle
-1788408307,reward_ammo_heavysniper
-1743009280,reward_weapon_pistol
-1685035629,reward_weapon_rpg
-1671328933,reward_ammo_missile_mp
-1629599578,reward_ammo_marksmanpistol
-1609620324,reward_weapon_sawnoffshotgun
-1574615070,reward_ammo_advancedrifle
