hash,key
0x00E9708B,reward_weapon_heavypistol
0x03164607,reward_health_variable
0x037CC7A5,reward_weapon_pumpshotgun_mk2
0x04263021,reward_weapon_mg
0x042E118A,reward_ammo_firework
0x04ACD4CE,reward_health_enter_vehicle
0x08EB0539,reward_ammo_pipebomb
0x096D90B7,reward_weapon_combatmg_mk2
0x0BF16B15,reward_weapon_militaryrifle
0x0E9FE00A,reward_ammo_proxmine
0x113B4B68,reward_ammo_fertilizercan
0x14CA51C7,reward_ammo_ceramicpistol
0x1A8110FB,reward_weapon_hammer
0x1BCD6221,reward_weapon_bullpupshotgun
0x202247F3,reward_weapon_assaultsmg
0x20CB9040,reward_ammo_sawnoffshotgun
0x218E8476,reward_weapon_firework
0x21B28C1D,reward_ammo_assaultsmg
0x220BACA0,reward_weapon_navyrevolver
0x2523CFC6,reward_weapon_gadgetpistol
0x2575AA7A,reward_weapon_smg
0x25E9F1DF,reward_weapon_advancedrifle
0x26284BB6,reward_ammo_minigun
0x270EB0E7,reward_ammo_dbshotgun
0x2761BE58,reward_ammo_doubleaction
0x27887771,reward_weapon_machinepistol
0x28BE1093,reward_weapon_pistol_mk2
0x28F0B2BD,reward_weapon_smg_mk2
0x2A759AF2,reward_weapon_appistol
0x2B11F3DD,reward_ammo_compactrifle
0x2BB1F235,reward_weapon_dagger
0x2C1AF448,reward_weapon_proxmine
0x2D1253FE,reward_weapon_minismg
0x2D29A1BD,reward_weapon_assaultshotgun
0x2EC4BE88,reward_weapon_assaultrifle_mk2
0x2ED270E3,reward_weapon_specialcarbine
0x2FE97B52,reward_weapon_doubleaction
0x3089F6EB,reward_weapon_bat
0x30CEEDA4,reward_weapon_gusenberg
0x31EFF27D,reward_ammo_pistol
0x32DDEC99,reward_weapon_compactrifle
0x32E563AA,reward_weapon_heavysniper_mk2
0x35218D94,reward_ammo_tacticalrifle
0x3555ABD7,reward_stat_weapon
0x38474C90,reward_stat_health
0x3A99EFD9,reward_weapon_heavysniper
