hash,key
127042729,pickup_weapon_marksmanrifle
155886031,pickup_handcuff_key
157823901,pickup_weapon_specialcarbine
160266735,pickup_vehicle_health_standard
259150393,tsmg
292537574,pickup_ammo_smg
341217064,pickup_money_med_bag
483577702,pickup_health_snack
483787975,pickup_weapon_smokegrenade
496339155,pickup_weapon_microsmg
513448440,pickup_money_purse
544828034,pickup_ammo_pistol
545862290,pickup_money_dep_bag
582047296,pickup_weapon_firework
663586612,pickup_weapon_knife
693539241,pickup_weapon_hammer
738282662,pickup_custom_script
746606563,pickup_vehicle_weapon_stickybomb
768803961,pickup_weapon_molotov
772217690,pickup_vehicle_weapon_sawnoff
779501861,pickup_weapon_grenadelauncher
792114228,pickup_weapon_minigun
837436873,pickup_portable_dlc_vehicle_package
978070226,pickup_weapon_smg
996550793,pickup_weapon_appistol
1125567497,pickup_vehicle_armour_standard
1274757841,pickup_armour_standard
1295434569,pickup_weapon_rpg
1393009900,pickup_weapon_gusenberg
1426343849,pickup_ammo_bullet_mp
1548844439,pickup_ammo_hominglauncher
1575005502,pickup_money_wallet
1577485217,pickup_weapon_grenade
1587637620,pickup_weapon_nightstick
1613316560,pickup_ammo_firework_mp
1649373715,pickup_weapon_proxmine
1704231442,pickup_vehicle_money_variable
1705498857,pickup_vehicle_weapon_smokegrenade
1735599485,pickup_parachute
1765114797,pickup_weapon_heavysniper
1817941018,pickup_weapon_pistol50
1850631618,pickup_weapon_bullpupshotgun
1852930709,pickup_portable_crate_unfixed
1897726628,pickup_money_paper_bag
1948018762,pickup_weapon_assaultsmg
1983869217,pickup_weapon_musket
2012476125,pickup_ammo_shotgun
2081529176,pickup_weapon_stickybomb
-2136239332,pickup_portable_package
-2124585240,pickup_weapon_bullpuprifle
-2115084258,pickup_weapon_bat
-2071756841,pickup_ammo_rpg
-2066319660,pickup_vehicle_weapon_molotov
-2050315855,pickup_weapon_mg
-2027042680,pickup_weapon_crowbar
-2011516760,pickup_ammo_grenadelauncher
-1997886297,pickup_weapon_golfclub
-1989692173,pickup_weapon_combatpistol
-1888453608,pickup_health_standard
-1835415205,pickup_weapon_assaultshotgun
-1766583645,pickup_weapon_sawnoffshotgun
-1661912808,pickup_weapon_heavypistol
-1541298894,pickup_ammo_grenadelauncher_mp
-1521817673,pickup_vehicle_weapon_pistol
-1514616151,pickup_vehicle_custom_script
-1491601256,pickup_vehicle_weapon_grenade
-1456120371,pickup_weapon_pumpshotgun
-1298986476,pickup_weapon_combatmg
-1296747938,pickup_weapon_advancedrifle
-1200951717,pickup_vehicle_weapon_microsmg
-1118969278,pickup_weapon_flaregun
-1093374267,pickup_weapon_heavyshotgun
-1074893765,pickup_weapon_dagger
-1071729032,pickup_weapon_hominglauncher
-1070796507,pickup_ammo_sniper
-977852653,pickup_weapon_snspistol
-962731009,pickup_weapon_petrolcan
-887893374,pickup_weapon_fireextinguisher
-864236261,pickup_vehicle_weapon_smg
-863291131,pickup_vehicle_weapon_appistol
-831529621,pickup_money_case
-794112265,pickup_vehicle_weapon_combatpistol
-744254618,pickup_vehicle_weapon_pistol50
-564600653,pickup_ammo_mg
-562499202,pickup_money_security_case
-546236071,pickup_weapon_carbinerifle
-535568356,pickup_ammo_flaregun
-512375144,pickup_gang_attack_money
-482507216,pickup_camera
-457363514,pickup_ammo_rifle
-405862452,pickup_submarine
-336028321,pickup_weapon_vintagepistol
-228982343,pickup_ammo_minigun
-214137936,pickup_weapon_assaultrifle
-114341780,pickup_ammo_firework
-107080240,pickup_ammo_missile_mp
-105925489,pickup_weapon_pistol
-95310859,pickup_weapon_bottle
-48884066,pickup_weapon_stungun
-31919185,pickup_money_variable
-30788308,pickup_weapon_sniperrifle
