hash,key
79909481,pickup_portable_crate_unfixed_incar_with_passengers
83435908,pickup_vehicle_custom_script_no_rotate
94531552,pickup_weapon_specialcarbine_mk2
127042729,pickup_weapon_marksmanrifle
155106086,pickup_weapon_poolcue
155886031,pickup_handcuff_key
157823901,pickup_weapon_specialcarbine
158843122,pickup_weapon_battleaxe
160266735,pickup_vehicle_health_standard
175293769,pickup_weapon_flare
259150393,tsmg
266812085,pickup_weapon_compactrifle
292537574,pickup_ammo_smg
341217064,pickup_money_med_bag
483577702,pickup_health_snack
483787975,pickup_weapon_smokegrenade
496339155,pickup_weapon_microsmg
513448440,pickup_money_purse
544828034,pickup_ammo_pistol
545862290,pickup_money_dep_bag
582047296,pickup_weapon_firework
663586612,pickup_weapon_knife
693539241,pickup_weapon_hammer
738282662,pickup_custom_script
746606563,pickup_vehicle_weapon_stickybomb
768803961,pickup_weapon_molotov
772217690,pickup_vehicle_weapon_sawnoff
779501861,pickup_weapon_grenadelauncher
792114228,pickup_weapon_minigun
837436873,pickup_portable_dlc_vehicle_package
978070226,pickup_weapon_smg
990867623,pickup_weapon_doubleaction
996550793,pickup_weapon_appistol
1000920287,pickup_weapon_rayminigun
1038697149,pickup_weapon_snspistol_mk2
1104334678,pickup_vehicle_custom_script_low_glow
1125567497,pickup_vehicle_armour_standard
1189363388,pickup_weapon_snowball
1234831722,pickup_weapon_pistol_mk2
1263688126,pickup_portable_crate_unfixed_incar
1274757841,pickup_armour_standard
1295434569,pickup_weapon_rpg
1311775952,pickup_weapon_hatchet
1393009900,pickup_weapon_gusenberg
1426343849,pickup_ammo_bullet_mp
1548844439,pickup_ammo_hominglauncher
1572258186,pickup_weapon_pumpshotgun_mk2
1575005502,pickup_money_wallet
1577485217,pickup_weapon_grenade
1587637620,pickup_weapon_nightstick
1613316560,pickup_ammo_firework_mp
1632369836,pickup_weapon_revolver
1649373715,pickup_weapon_proxmine
1691306611,pickup_weapon_unarmed
1704231442,pickup_vehicle_money_variable
1705498857,pickup_vehicle_weapon_smokegrenade
1731512375,pickup_weapon_bzgas
1735599485,pickup_parachute
1751145014,pickup_vehicle_weapon_assaultsmg
1765114797,pickup_weapon_heavysniper
1817941018,pickup_weapon_pistol50
1835046764,pickup_weapon_revolver_mk2
1850631618,pickup_weapon_bullpupshotgun
1852930709,pickup_portable_crate_unfixed
1897726628,pickup_money_paper_bag
1948018762,pickup_weapon_assaultsmg
1959050722,pickup_weapon_raycarbine
1983869217,pickup_weapon_musket
2012476125,pickup_ammo_shotgun
2023061218,pickup_weapon_combatpdw
2081529176,pickup_weapon_stickybomb
2158727964,pickup_portable_package
2170382056,pickup_weapon_bullpuprifle
2173116527,pickup_weapon_assaultrifle_mk2
2179883038,pickup_weapon_bat
2223210455,pickup_ammo_rpg
2228647636,pickup_vehicle_weapon_molotov
2244651441,pickup_weapon_mg
2267924616,pickup_weapon_crowbar
2283450536,pickup_ammo_grenadelauncher
2297080999,pickup_weapon_golfclub
2305275123,pickup_weapon_combatpistol
2329799797,pickup_weapon_marksmanpistol
2349845267,pickup_weapon_bullpuprifle_mk2
2406513688,pickup_health_standard
2431639355,pickup_portable_crate_unfixed_inairvehicle_with_passengers
2459552091,pickup_weapon_assaultshotgun
2499414878,pickup_portable_crate_unfixed_low_glow
2528383651,pickup_weapon_sawnoffshotgun
2633054488,pickup_weapon_heavypistol
2673201481,pickup_weapon_marksmanrifle_mk2
2689501965,pickup_portable_crate_fixed_incar_with_passengers
2753668402,pickup_ammo_grenadelauncher_mp
2773149623,pickup_vehicle_weapon_pistol
2780351145,pickup_vehicle_custom_script
2803366040,pickup_vehicle_weapon_grenade
2817147086,pickup_portable_crate_fixed_incar_small
2837437579,pickup_weapon_combatmg_mk2
2838846925,pickup_weapon_pumpshotgun
2942905513,pickup_weapon_pipebomb
2995980820,pickup_weapon_combatmg
2998219358,pickup_weapon_advancedrifle
3094015579,pickup_vehicle_weapon_microsmg
3167076850,pickup_weapon_autoshotgun
3175998018,pickup_weapon_flaregun
3182886821,pickup_weapon_flashlight
3185079484,pickup_weapon_carbinerifle_mk2
3201593029,pickup_weapon_heavyshotgun
3220073531,pickup_weapon_dagger
3223238264,pickup_weapon_hominglauncher
3224170789,pickup_ammo_sniper
3257668253,pickup_weapon_ball
3285027633,pickup_portable_crate_unfixed_incar_small
3317114643,pickup_weapon_snspistol
3332236287,pickup_weapon_petrolcan
3407073922,pickup_weapon_fireextinguisher
3430731035,pickup_vehicle_weapon_smg
3431676165,pickup_vehicle_weapon_appistol
3432031091,pickup_weapon_stone_hatchet
3463437675,pickup_money_case
3500855031,pickup_vehicle_weapon_combatpistol
3547474523,pickup_weapon_minismg
3550712678,pickup_vehicle_weapon_pistol50
3626334911,pickup_weapon_machete
3722713114,pickup_weapon_switchblade
3730366643,pickup_ammo_mg
3732468094,pickup_money_security_case
3748731225,pickup_weapon_carbinerifle
3759398940,pickup_ammo_flaregun
3782592152,pickup_gang_attack_money
3812460080,pickup_camera
3812817136,pickup_weapon_raypistol
3832418740,pickup_weapon_railgun
3837603782,pickup_ammo_rifle
3843167081,pickup_weapon_wrench
3889104844,pickup_submarine
3958938975,pickup_weapon_vintagepistol
3993904883,pickup_portable_crate_fixed_incar
4012602256,pickup_weapon_smg_mk2
4041868857,pickup_weapon_compactlauncher
4065984953,pickup_ammo_minigun
4080829360,pickup_weapon_assaultrifle
4123384540,pickup_weapon_machinepistol
4180625516,pickup_ammo_firework
4187887056,pickup_ammo_missile_mp
4189041807,pickup_weapon_pistol
4192395039,pickup_weapon_dbshotgun
4199656437,pickup_weapon_bottle
4246083230,pickup_weapon_stungun
4254904030,pickup_weapon_knuckle
4260266856,pickup_vehicle_health_standard_low_glow
4263048111,pickup_money_variable
4264178988,pickup_weapon_sniperrifle
4278878871,pickup_weapon_heavysniper_mk2
