hash,key
0x079284A9,pickup_weapon_marksmanrifle
0x094AA1CF,pickup_handcuff_key
0x0968339D,pickup_weapon_specialcarbine
0x098D79EF,pickup_vehicle_health_standard
0x0F725239,tsmg
0x116FC4E6,pickup_ammo_smg
0x14568F28,pickup_money_med_bag
0x1CD2CF66,pickup_health_snack
0x1CD604C7,pickup_weapon_smokegrenade
0x1D9588D3,pickup_weapon_microsmg
0x1E9A99F8,pickup_money_purse
0x20796A82,pickup_ammo_pistol
0x20893292,pickup_money_dep_bag
0x22B15640,pickup_weapon_firework
0x278D8734,pickup_weapon_knife
0x295691A9,pickup_weapon_hammer
0x2C014CA6,pickup_custom_script
0x2C804FE3,pickup_vehicle_weapon_stickybomb
0x2DD30479,pickup_weapon_molotov
0x2E071B5A,pickup_vehicle_weapon_sawnoff
0x2E764125,pickup_weapon_grenadelauncher
0x2F36B434,pickup_weapon_minigun
0x31EA45C9,pickup_portable_dlc_vehicle_package
0x3A4C2AD2,pickup_weapon_smg
0x3B662889,pickup_weapon_appistol
0x4316CC09,pickup_vehicle_armour_standard
0x4BFB42D1,pickup_armour_standard
0x4D36C349,pickup_weapon_rpg
0x5307A4EC,pickup_weapon_gusenberg
0x550447A9,pickup_ammo_bullet_mp
0x5C517D97,pickup_ammo_hominglauncher
0x5DE0AD3E,pickup_money_wallet
0x5E0683A1,pickup_weapon_grenade
0x5EA16D74,pickup_weapon_nightstick
0x602941D0,pickup_ammo_firework_mp
0x624F7213,pickup_weapon_proxmine
0x65948212,pickup_vehicle_money_variable
0x65A7D8E9,pickup_vehicle_weapon_smokegrenade
0x6773257D,pickup_parachute
0x693583AD,pickup_weapon_heavysniper
0x6C5B941A,pickup_weapon_pistol50
0x6E4E65C2,pickup_weapon_bullpupshotgun
0x6E717A95,pickup_portable_crate_unfixed
0x711D02A4,pickup_money_paper_bag
0x741C684A,pickup_weapon_assaultsmg
0x763F7121,pickup_weapon_musket
0x77F3F2DD,pickup_ammo_shotgun
0x7C119D58,pickup_weapon_stickybomb
0x80AB931C,pickup_portable_package
0x815D66E8,pickup_weapon_bullpuprifle
0x81EE601E,pickup_weapon_bat
0x84837FD7,pickup_ammo_rpg
0x84D676D4,pickup_vehicle_weapon_molotov
0x85CAA9B1,pickup_weapon_mg
0x872DC888,pickup_weapon_crowbar
0x881AB0A8,pickup_ammo_grenadelauncher
0x88EAACA7,pickup_weapon_golfclub
0x8967B4F3,pickup_weapon_combatpistol
0x8F707C18,pickup_health_standard
0x9299C95B,pickup_weapon_assaultshotgun
0x96B412A3,pickup_weapon_sawnoffshotgun
0x9CF13918,pickup_weapon_heavypistol
0xA421A532,pickup_ammo_grenadelauncher_mp
0xA54AE7B7,pickup_vehicle_weapon_pistol
0xA5B8CAA9,pickup_vehicle_custom_script
0xA717F898,pickup_vehicle_weapon_grenade
0xA9355DCD,pickup_weapon_pumpshotgun
0xB2930A14,pickup_weapon_combatmg
0xB2B5325E,pickup_weapon_advancedrifle
0xB86AEE5B,pickup_vehicle_weapon_microsmg
0xBD4DE242,pickup_weapon_flaregun
0xBED46EC5,pickup_weapon_heavyshotgun
0xBFEE6C3B,pickup_weapon_dagger
0xC01EB678,pickup_weapon_hominglauncher
0xC02CF125,pickup_ammo_sniper
0xC5B72713,pickup_weapon_snspistol
0xC69DE3FF,pickup_weapon_petrolcan
0xCB13D282,pickup_weapon_fireextinguisher
0xCC7CCD1B,pickup_vehicle_weapon_smg
0xCC8B3905,pickup_vehicle_weapon_appistol
0xCE6FDD6B,pickup_money_case
0xD0AACEF7,pickup_vehicle_weapon_combatpistol
0xD3A39366,pickup_vehicle_weapon_pistol50
0xDE58E0B3,pickup_ammo_mg
0xDE78F17E,pickup_money_security_case
0xDF711959,pickup_weapon_carbinerifle
0xE013E01C,pickup_ammo_flaregun
0xE175C698,pickup_gang_attack_money
0xE33D8630,pickup_camera
0xE4BD2FC6,pickup_ammo_rifle
0xE7CF07CC,pickup_submarine
0xEBF89D5F,pickup_weapon_vintagepistol
0xF25A01B9,pickup_ammo_minigun
0xF33C83B0,pickup_weapon_assaultrifle
0xF92F486C,pickup_ammo_firework
0xF99E15D0,pickup_ammo_missile_mp
0xF9AFB48F,pickup_weapon_pistol
0xFA51ABF5,pickup_weapon_bottle
0xFD16169E,pickup_weapon_stungun
0xFE18F3AF,pickup_money_variable
0xFE2A352C,pickup_weapon_sniperrifle
