hash,key
0x09D80F93,miljet
0x15F27762,cargoplane
0x18606535,avenger2
0x1AAD0DED,volatol
0x250B0C5E,luxor
0x39D6779E,duster
0x39D6E83F,hydra
0x3DC92356,nokota
0x3E2E4F8A,tula
0x3F119114,jet
0x403820E8,velum2
0x4FF77E37,vestra
0x5D56F01B,molotok
0x64DE07A1,strikeforce
0x6CBD1D6D,besra
0x761E2AD3,titan
0x81794C70,stunt
0x81BD2ED0,
0x96E24857,microlight
0x97E55D11,mammatus
0x9A9EB7DE,starling
0x9C429B6A,velum
0xA52F6866,alphaz1
0xAD6065C0,pyro
0xB2CF7250,nimbus
0xB39B0AE6,lazer
0xB79C1BF5,shamal
0xB79F589E,luxor2
0xC3F25753,howard
0xC5DD6967,rogue
0xCA495705,dodo
0xD35698EF,mogul
0xD9927FE3,cuban800
0xE8983F9F,seabreeze
0xEA313705,alkonost
0xFE0A508C,bombushka
