hash,key
10551752,script_task_set_ped_defensive_area
12950610,script_task_vehicle_aim_at_coord
14754444,script_task_hang_glider
22897635,script_task_nm_high_fall
47950271,script_task_plane_chase
63541484,script_task_pause
71191126,script_task_plane_land
76834332,script_task_move_network
150319005,script_task_look_at_entity
167901368,script_task_shoot_at_entity
176279168,deprecated_script_task_go_to_coord_while_aiming_at_ped
189127372,deprecated_script_task_destroy_vehicle
189393644,script_task_nm_dangle
208245535,script_task_aim_gun_scripted
242628503,script_task_perform_sequence
243280164,script_task_warp_ped_directly_into_cover
255558996,script_task_toggle_duck
264387021,script_task_chat_to_ped
290415843,
355471868,script_task_shuffle_to_next_vehicle_seat
368352095,deprecated_script_task_shoot_at_ped
420331547,deprecated_script_task_sit_down
432954108,script_task_go_to_coord_while_aiming_at_coord
438504025,deprecated_script_task_goto_ped_aiming
451360105,script_task_leave_vehicle
474215631,script_task_cower
490823532,script_task_duck
501393341,script_task_dismount_animal
525576154,deprecated_script_task_hand_gesture
538064912,script_task_vehicle_shoot_at_entity
567490903,script_task_vehicle_drive_to_coord_longrange
568906980,script_task_guard_sphere_defensive_area
570576210,
579380604,script_task_vehicle_chase
608260166,script_task_jump
626991564,deprecated_script_task_look_about
655999185,script_task_combat_hated_targets_around_ped_timed
657887634,script_task_heli_chase
688521916,script_task_go_to_coord_and_aim_at_hated_entities_near_coord
690397169,
700103780,script_task_use_walkie_talkie
713668775,script_task_follow_nav_mesh_to_coord
716706914,script_task_swap_weapon
739926319,deprecated_script_task_sideways_dive
780511057,script_task_combat
815848505,
923520851,script_task_wander_in_area
936589729,script_task_use_mobile_phone
981658565,
993674639,script_task_start_scenario_in_place
1004259388,script_task_vehicle_aim_using_camera
1045468327,script_task_ped_slide_to_coord
1056466932,script_task_follow_to_offset_of_entity
1120685857,script_task_combat_hated_targets_in_area
1169531206,script_task_go_to_coord_any_means_extra_params
1212655951,script_task_nm_attach_to_vehicle
1223610983,script_task_shark_circle_coord
1226471469,script_task_general_sweep
1226945658,script_task_parachute_to_target
1227113341,script_task_go_to_entity
