hash,key
0x00A101C8,script_task_set_ped_defensive_area
0x00C59C52,script_task_vehicle_aim_at_coord
0x00E1228C,script_task_hang_glider
0x015D63E3,script_task_nm_high_fall
0x02DBA9BF,script_task_plane_chase
0x03C990EC,script_task_pause
0x043E4A56,script_task_plane_land
0x0494661C,script_task_move_network
0x08F5AF9D,script_task_look_at_entity
0x0A01F8B8,script_task_shoot_at_entity
0x0A81CE80,deprecated_script_task_go_to_coord_while_aiming_at_ped
0x0B45DACC,deprecated_script_task_destroy_vehicle
0x0B49EAEC,script_task_nm_dangle
0x0C69931F,script_task_aim_gun_scripted
0x0E763797,script_task_perform_sequence
0x0E802924,script_task_warp_ped_directly_into_cover
0x0F3B8554,script_task_toggle_duck
0x0FC239CD,script_task_chat_to_ped
0x114F64E3,
0x153011FC,script_task_shuffle_to_next_vehicle_seat
0x15F49B5F,deprecated_script_task_shoot_at_ped
0x190DC01B,deprecated_script_task_sit_down
0x19CE5AFC,script_task_go_to_coord_while_aiming_at_coord
0x1A230A59,deprecated_script_task_goto_ped_aiming
0x1AE73569,script_task_leave_vehicle
0x1C43F4CF,script_task_cower
0x1D415F6C,script_task_duck
0x1DE2A7BD,script_task_dismount_animal
0x1F53A7DA,deprecated_script_task_hand_gesture
0x20123810,script_task_vehicle_shoot_at_entity
0x21D33957,script_task_vehicle_drive_to_coord_longrange
0x21E8D4E4,script_task_guard_sphere_defensive_area
0x22024D52,
0x2288A57C,script_task_vehicle_chase
0x24415046,script_task_jump
0x255F21CC,deprecated_script_task_look_about
0x2719C0D1,script_task_combat_hated_targets_around_ped_timed
0x27369192,script_task_heli_chase
0x290A02BC,script_task_go_to_coord_and_aim_at_hated_entities_near_coord
0x29269FF1,
0x29BABC64,script_task_use_walkie_talkie
0x2A89B8A7,script_task_follow_nav_mesh_to_coord
0x2AB81462,script_task_swap_weapon
0x2C1A612F,deprecated_script_task_sideways_dive
0x2E85A751,script_task_combat
0x30A0DC39,
0x370BCF53,script_task_wander_in_area
0x37D339A1,script_task_use_mobile_phone
0x3A82EBC5,
0x3B3A458F,script_task_start_scenario_in_place
0x3BDBC83C,script_task_vehicle_aim_using_camera
