hash,key
3198872,hack_failed
5474247,mp_apartment_shower_door_open_master
7452181,hacking_downloading
12493945,checkpoint_beast_hit
15151234,bomb_deployed
16784301,collect_keys
20057234,hooray
22041771,car_creak
22786553,special_evil_ufo_death_ray_3
24526144,tennis_plyr_smash_master
25377555,tone
29738967,grab_wire
31894354,hud_detonate_charge
33087349,inside_track_start
34831271,lamar_throttle_blip
34982582,trevor_4_747_tv
36225002,minigame_success
43699458,interior_rain
49397873,warning_alarm_loop
51495445,powerup_collect_local
51685607,dlc_biker_darts_hit_board_remote_master
55232869,hit
55710031,movie_prop
60367320,alarm_loop
60708706,darts_throw_dart_master
64280907,dlc_vw_table_games_sounds
70459172,signal_off
70924083,small_crash
74615517,tennis_npc_topspin_master
76493417,orientation_success
85433708,dlc_ch_hidden_collectibles_sk_sounds
86892219,trevor_2_plane_start
87080623,car_wheels
87820419,main_explosion_cheap
88475509,outcome_pimpin
88528948,scanner_alarm_os
90672004,enemy_pickup_briefcase
94240481,tag_entity
94566429,finale_available
95084296,golf_hud_scorecard_master
97220479,bomb_armed
114533518,mission_pass_notify
118333994,enter_car_ramp_deploy
118617765,laser_drill
121816361,suspension_script_force
125735237,off
129411789,gun_fire
134911398,outcome_hype
136299773,team_capture_start
136914426,scramble_countdown_med
137477946,skip
137744481,hit_out
139906789,laptop_download
144564022,whistle
145680828,franklins_house_security_light_on
145911449,door_open
146039221,torch
146708927,tennis_amb_smash_master
149920869,countdown_1
153668204,trevor_4_747_tanker_explosion
161320697,focusin
172480273,delete_placed_prop
174927700,darts_hit_dart_master
175417441,shock_fire
175868476,screen_flash_start
176064003,kick_machine
181592384,tarp
184700562,successful_landing
192362535,remove_tracker
192459192,night_die
195847598,prm2_bedroom_amanda_snore_master
197433148,turn_limit
201795085,crate_pickup_player
202190493,exploding_entity_stop
208240606,elk_brey_master
209322410,laser_power_down
209662261,timer_to_day
210315650,door_close
212477178,metal_detector_offline
220973855,camera_zoom
223938826,rider_famine_loop
225177674,robbery_money_total
227061120,emp_vehicle_hum
228722879,select_drone
234120240,target_activate
236323228,race_placed
240898139,peyote_attract_soundset
243395534,cops_arrive_2
244835094,rider_pestilence_loop
248858332,smash_cabinet_player
250620838,fake_arrival
253741242,click_back
256410523,10_secs_countdown
257093727,clown_die_wrapper
258327781,elevator_start
259244687,remote_control_close
260604764,moonpool_prompt_exit
263044073,confirm
267486399,mp_5_second_timer
268510803,bar_unlock_and_raise
272117951,elevator_ascending_loop
272523501,click_link
273942571,thermal_on
275054767,net_race_start_event_master
275428740,security_box_offline_gun
275634763,target_counter_tick
275871909,motor_01
277263134,local_plyr_cash_counter_complete
277870475,select_mission_launch
281617391,security_scanner_beep_os
281725855,beacon
284393312,slow_clap_cel
284904902,minigame_failure
286047772,transform_jn_vfx
286273066,hud_static_loop
287195044,drop
287760467,player_beamed_up
290580244,mod_shop_brakes_oneshot
290766514,zoom_out_loop
293799843,recharging_loop
302415504,out
302512246,checkpoint
303341493,remote_control_open
304581654,explosion_03
305788941,fly_buzz
310385487,checkpoint_ahead
310514349,magnetic_explosion
311069134,countdown_0_secs
315110408,transform_oneshot
316449540,car_steal_1_ignitions
316547421,test_scream_long
321178074,engine
321591533,near_miss_counter_reset
323626365,button
326360399,train_crash
327877655,teeth_initial_pain
328835390,player_drugged_loop
331412407,hit_mirror
333660128,alarms_klaxon_03_close
337989188,rope_cut
341255971,brawl_start_oneshot
344371008,powerup_despawn
345832256,ent_amb_elec_crackle
348337420,oob_timer_dynamic
350139745,panic_walla
353741911,bleep
356577390,retune_low
358265311,despawn_fe
358675556,idle_beep_npc
363748105,base_jump_passed
367154289,blowtorch_cut_loop
368452767,damaged_truck_idle
369102357,landing_tone
369662408,bus_schedule_pickup
370544164,slow_squeak
371954260,screen_flash
373683772,select_spec_drone
376469899,scramble_countdown_high
377225375,elevator_stop
382120487,ramp_up
385955976,countdown_2
388672623,golf_ball_impact_leaves_master
389624126,police_crash
391984250,notification
392779139,breakerdown
393912599,place_bet
398266609,hud_frontend_default_soundset
400975737,transform_attacker_vfx
404717595,signal_on
404851220,deliver
405057684,failed_landing
407242486,carriage
411366740,active
411554652,heli_crash
414072561,train_pick_up_master
414782907,fail_remote
415763254,vehicle_warp
422523630,crush_car
423368013,knuckle_crack_hard_cel
423669744,restart
426299207,weapon_select_grenade_launcher
429283104,package_delivered_success_remote
430201210,pin_bad
430585618,mic4_camera_flash_master
431262112,towing_engine_turning_master
443555945,log_in
443773816,metal_detector_big_guns
445600903,player_exit_line
446599227,assassinations_hotel_timer_countdown
449549445,diggerrevoneshot
449757115,dax_2_5_hack_sounds
453268285,use_boost
463758201,enter_menu
465028162,dlc_aw_bb_sounds
468750348,under_water_come_up
474747453,building_site_crash
476545922,zone_neutral
478000725,clothes_on
478175443,drill
478990173,outcome_perfectmatch
483787975,pickup_weapon_smokegrenade
483844727,gps_set
489159431,generator
492866056,small_win
493305228,mod_shops_enter_engine_blip
499822982,rider_war_loop
500026391,fbi_02_snatch_and_grab_heli_down
506849280,hud_freemode_cancel_master
508109082,script_triggered_from_prop
508309159,lock_break
510196927,weapon_select_baton
512466788,empty_fire_fail
516571308,place_max_bet
516683475,tank_weapon_lightning_gun_fire_hit
517432819,reset_win
519628167,mp_wave_complete
521308016,weapon_select_rifle
524642803,connect_multiply_2
525342738,cutscene_dialogue_override_sound_02
525427633,mod_shops_exit_engine_blip
526230780,armour_off
528240610,elevator_doors_opening_loop
532435298,vehicle_transform
532782669,leave_station
533484379,dlc_vw_bet_up
539696441,click
546342837,test_scream_short
550173919,spawn
554219306,in_range
554725273,thermal_loop
561438313,trevor_2_van_rev
563137500,collect_money
564589427,zoom
565312853,distant_roar
566303463,traffic_control_fail
567168635,nav_arrow_behind
567342391,target_practice_stop_master
568327282,garage_door_open
569053119,arrive_station
572076582,remote_control_fob
576777864,vault_door_close
577233588,altitude_warning_loop
579047999,download_start
579719348,golf_hud_hole_in_one_master
587336086,ramp_down
587569706,camera_move_loop
588834907,player_pick_up
589669705,turn
589911411,jackpot
591474249,explosion_02
595366093,06
609993385,woosh_01
614631704,timer_10s
615638154,player_collect
620134859,golf_birdie
626544054,camera
632817843,fall_land
633978931,fbi_heist_setup_1_car_park_skid_cr
634785917,outcome_sweet
638934355,gold_trolley_roll_player
639365719,traffic_control_change_cam
645084074,door_shut
647269941,gate_lock_break
650944553,elevator_moving
651222926,timer_radial_reset
657292016,whoosh_1s_r_to_l
660327163,next_trap
661444436,tennis_cls_ball_hard_master
661748191,michael_sofa_tv_change_channel_master
661826910,nav_blocked
670403065,remote_friendly_enter_line
674619804,startup_sequence
676698040,round_ending_stinger_custom
678961825,sniper_fire
680437574,connection_lost
683399657,attach_container
684578218,formation_inactive
687851307,tennis_point_won
688705248,handle_up
690440175,flight_school_lesson_passed
691657023,radar_activate
693325382,spin_start
694122714,speech_bubble
696058720,metal_detector_unequip
697359399,winner
699394807,strain_no_container
702193412,ambient_sex
703025270,golf_ball_in_water_master
703227994,end_zone_flash
706009601,glass_smash
709163729,flight_unlock
713733539,deliver_pick_up
719636213,transform_remote_player
720425404,collect_out_bag
725636590,distant_sirens_fight
732178654,radio_off
735232439,loose_match
740040700,flag_delivered
740898202,opened
741827921,screenflash
741918097,rc_mines_empty
741942090,cop_heli_cam_scan_ped_failure
744296313,flatbed_delivery_impact
744625221,garage_door_unlocked
745694304,bomb_release
746213058,timer_5s
748271464,keys
748958559,countdown_tick_last
749689406,ps2a_money_lost
754076749,big_stop
755815771,pick_up_money
763049360,metal_detector_scanner
765852644,hacking_click_bad
771085269,air_defenses_disabled
771639845,fbi_heist_setup_1_car_park_tyre_bump_creak_cr
772767789,beast_checkpoint_npc
777045017,mic_2_chopped_up_jumpin_master
778365143,bell
779390779,clothes_swap
781239765,jump
782382581,exit_capture_zone
782516382,trail_custom
783328796,save_scene
785364935,click_special
787043950,fbi_heist_setup_1_car_park_tyre_bump_cr
787156278,cop_heli_cam_bleep_too_far
787973624,martin1_distant_train_horns_master
788722652,tile_select
788832181,garage_open_02
788987921,guard_headshot
793880155,crate_destroy_remote
802157944,golf_ball_impact_flag_master
803163492,fake_arrive
804758671,steal_powerup
804846777,sultanrs_upgrade
804849376,bomb_passed
810372829,continue
810465399,charging
815855681,brawl_walla_loop
816988010,distant_sirens_rubble
823016770,exile_3_train_brake_release_master
823408625,place_checkpoint
823591841,item_close_loop
823960904,torch_cut
