hash,key
0x0030CF98,hack_failed
0x005387C7,mp_apartment_shower_door_open_master
0x0071B615,hacking_downloading
0x00BEA479,checkpoint_beast_hit
0x00E73082,bomb_deployed
0x01001BAD,collect_keys
0x01320C92,hooray
0x015054AB,car_creak
0x015BB1F9,special_evil_ufo_death_ray_3
0x01763D40,tennis_plyr_smash_master
0x01833B13,tone
0x01C5C7D7,grab_wire
0x01E6AB52,hud_detonate_charge
0x01F8DF75,inside_track_start
0x02137BA7,lamar_throttle_blip
0x0215CAB6,trevor_4_747_tv
0x0228BFEA,minigame_success
0x029ACD02,interior_rain
0x02F1C071,warning_alarm_loop
0x0311C215,powerup_collect_local
0x0314A8E7,dlc_biker_darts_hit_board_remote_master
0x034AC965,hit
0x0352114F,movie_prop
0x039921D8,alarm_loop
0x039E5762,darts_throw_dart_master
0x03D4D94B,dlc_vw_table_games_sounds
0x04331F24,signal_off
0x043A3733,small_crash
0x04728ADD,tennis_npc_topspin_master
0x048F3269,orientation_success
0x05179D6C,dlc_ch_hidden_collectibles_sk_sounds
0x052DDEBB,trevor_2_plane_start
0x0530BEAF,car_wheels
0x053C0883,main_explosion_cheap
0x05460775,outcome_pimpin
0x0546D834,scanner_alarm_os
0x05678B84,enemy_pickup_briefcase
0x059DFEE1,tag_entity
0x05A2F81D,finale_available
0x05AADF08,golf_hud_scorecard_master
0x05CB777F,bomb_armed
0x06D3A48E,mission_pass_notify
0x070DA22A,enter_car_ramp_deploy
0x0711F6A5,laser_drill
0x0742C529,suspension_script_force
0x077E9145,off
0x07B6AACD,gun_fire
0x080A95A6,outcome_hype
0x081FC4FD,team_capture_start
0x082925FA,scramble_countdown_med
0x0831BF3A,skip
0x0835D061,hit_out
0x0856CEE5,laptop_download
0x089DDF36,whistle
0x08AEE9BC,franklins_house_security_light_on
0x08B26E99,door_open
0x08B461B5,torch
0x08BE99BF,tennis_amb_smash_master
0x08EF9C65,countdown_1
0x0928CA6C,trevor_4_747_tanker_explosion
0x099D8EF9,focusin
0x0A47D711,delete_placed_prop
0x0A6D2F54,darts_hit_dart_master
0x0A74A861,shock_fire
0x0A7B8A3C,screen_flash_start
0x0A7E8603,kick_machine
0x0AD2E140,tarp
0x0B024E92,successful_landing
0x0B773827,remove_tracker
0x0B78B1B8,night_die
0x0BAC65AE,prm2_bedroom_amanda_snore_master
0x0BC4973C,turn_limit
0x0C07260D,crate_pickup_player
0x0C0D2E9D,exploding_entity_stop
0x0C697FDE,elk_brey_master
0x0C7A01AA,laser_power_down
0x0C7F3135,timer_to_day
0x0C892982,door_close
0x0CAA24FA,metal_detector_offline
0x0D2BCB1F,camera_zoom
0x0D59090A,rider_famine_loop
0x0D6BF04A,robbery_money_total
0x0D88AD80,emp_vehicle_hum
0x0DA208BF,select_drone
0x0DF46430,target_activate
0x0E16019C,race_placed
0x0E5BD05B,peyote_attract_soundset
0x0E81EBCE,cops_arrive_2
0x0E97E316,rider_pestilence_loop
0x0ED546DC,smash_cabinet_player
0x0EF02BA6,fake_arrival
0x0F1FC8BA,click_back
0x0F48839B,10_secs_countdown
0x0F52F05F,clown_die_wrapper
0x0F65C4E5,elevator_start
0x0F73C28F,remote_control_close
0x0F88835C,moonpool_prompt_exit
0x0FADBBE9,confirm
0x0FF184BF,mp_5_second_timer
0x10012653,bar_unlock_and_raise
0x103830BF,elevator_ascending_loop
0x103E60ED,click_link
0x1054082B,thermal_on
0x106500AF,net_race_start_event_master
0x106AB584,security_box_offline_gun
0x106DDA4B,target_counter_tick
0x107178A5,motor_01
0x1086B31E,local_plyr_cash_counter_complete
0x108FF78B,select_mission_launch
0x10C923EF,security_scanner_beep_os
0x10CACB9F,beacon
0x10F37F60,slow_clap_cel
0x10FB4DC6,minigame_failure
0x110CBE1C,transform_jn_vfx
0x11102E2A,hud_static_loop
0x111E3FA4,drop
0x1126E053,player_beamed_up
0x1151E714,mod_shop_brakes_oneshot
0x1154BEB2,zoom_out_loop
0x118307A3,recharging_loop
0x12067E90,out
0x1207F876,checkpoint
0x12149FB5,remote_control_open
0x12278C16,explosion_03
