hash,key
0x00904EED,lester1b_sounds
0x00FD4C28,wastedsounds
0x01D30C9C,dlc_btl_drone_sounds
0x028C8633,phone_soundset_default
0x02E5C9EF,docks_heist_finale_2b_sounds
0x03909505,gtao_smg_hangar_computer_sounds
0x03EB6088,dlc_vw_table_games_frontend_sounds
0x04728ADD,tennis_npc_topspin_master
0x04A9BBDB,dlc_aw_rcbandito_mine_sounds
0x05065845,dlc_btl_flyer_promotion_sounds
0x05179D6C,dlc_ch_hidden_collectibles_sk_sounds
0x05E98DE4,dlc_ie_pl_team_sounds
0x0805D58F,dlc_ie_steal_cargobob_sounds
0x0874C292,dax_1_6_sounds
0x08DDEF3F,dlc_sm_precision_delivery_sounds
0x08F699B8,dlc_xm_pickup_sweetener_sounds
0x0A01AE93,camera_flash_soundset
0x0A4D7781,crime_scene_sounds
0x0A59EF49,extreme_02_soundset
0x0A919E58,dlc_security_investigations_setup_sounds
0x0C52C92D,gtao_biker_modes_soundset
0x0C8DC692,deathmatch_sounds
0x0CF4C1DC,dlc_tuner_halloween_psycho_soundset
0x0D30ACB0,dlc_ind_rollercoaster_sounds
0x0E20F403,dlc_aw_arena_spectator_box_access_sounds
0x0E7FDCDA,dlc_aw_trap_controller_sounds
0x0F7E6FDC,construction_accident_1_sounds
0x10109BEB,phone_soundset_glasses_cam
0x108569E9,gtao_apt_door_downstairs_generic_sounds
0x10A2E79C,dlc_aw_arena_spin_wheel_game_sounds
0x10C76494,dlc_sr_tr_bomb_player_sounds
0x1126F747,docks_heist_setup_sounds
0x11408C1B,dlc_sm_cnd_player_sounds
0x114E1775,gtao_boss_goons_fm_shard_sounds
0x11FA9A39,dlc_exec_land_multiple_sounds
0x12FAF1B6,dlc_sm_countermeasures_sounds
0x13386F53,abigail_sonar_soundset
0x144C1267,gtao_magnate_boss_modes_soundset
0x14DE7CC9,arm_2_repo_sounds
0x15BC5D45,nigel_1b_soundset
0x178183EC,dlc_biker_business_cfm_sounds
0x1790EE85,fm_events_sasquatch_sounds
0x17BD10F1,hud_frontend_default_soundset
0x1865C8F4,gtao_yacht_soundset
0x186F8375,dlc_sm_hangar_door_sounds
0x18911EFF,dlc_tuner_halloween_driver_soundset
0x1ACEBFBB,dax_2_5_hack_sounds
0x1AF09523,dlc_biker_pow_sounds
0x1B7E1423,dlc_sm_heavy_lifting_sounds
0x1BB7C442,dlc_aw_bb_sounds
0x1BBE0235,heist_bulletin_board_soundset
0x1D41CFAA,dlc_exec_air_drop_sounds
0x1D6DB3D8,minute_02_soundset
0x1DFBD20F,dlc_ie_tail_vehicle_sounds
0x1E01CA63,taxi_sounds
0x1E40690B,dlc_ch_bugstars_sounds
0x1E8282C2,dlc_sm_escort_sounds
0x1FBEF93A,dlc_sm_stpi_player_sounds
0x211B6D3B,cb_radio_sfx
0x21E9CA6F,dlc_gr_moc_computer_sounds
0x22648117,dlc_vw_missing_delivery_sounds
0x2306C383,dlc_apartment_yacht_streams_soundset
0x239B3D41,big_score_3a_sounds
0x244ABAF1,dlc_vw_tracking_chips_sounds
0x24892FBE,gtao_bomb_plant_sounds
0x24D5ABF4,gtao_apt_door_downstairs_glass_sounds
0x24ECE101,assassination_multi
0x250D0937,josh_03_soundset
0x2511C62C,dlc_as_trp_sounds
0x2519D3DC,dlc_ie_vip_plowed_sounds
0x256CCB2E,dlc_ie_garage_elevator_sounds
0x25961C9C,dlc_xm_stromberg_sounds
0x25DAC8C2,dlc_sr_rs_enemy_sounds
0x2701FC98,dlc_pilot_mp_hud_sounds
0x276167B9,prep_signal_jammers_sounds
0x279080BF,prep_elevator_pass_sounds
0x2897B243,dlc_xm_iaa_player_facility_sounds
0x28F1A4B2,pi_menu_sounds
0x2A508F9C,hud_awards
0x2B05EA8F,dlc_btl_showroom_sounds
0x2B8F97E3,hud_frontend_mp_collectable_sounds
0x2C34B698,dlc_btl_rb_remix_sounds
0x2C3D476B,dlc_xm_farm_sounds
0x2CF2F0EF,hud_minigame_soundset
0x2D2D6BFE,dlc_hei4_hidden_collectibles_sounds
0x2D61C871,dlc_h3_tracker_app_sounds
0x2D733A74,web_navigation_sounds_phone
0x2DB874A4,docks_heist_prep_1_soundset
0x2E9D58E8,dlc_apt_yacht_door_sounds
0x2F36BE2D,fbi_heist_finale_chopper
0x2F75A4C8,fbi_heist_fight_chopper_sounds
0x30F46F3F,dlc_exec_tp_soundset
0x318D292F,dlc_security_data_leak_2_sounds
0x33AE4025,freight_elevator_sounds
0x33C1EF0F,dlc_gr_wvm_moc_soundset
0x34C824FC,barry_02_soundset
0x34CCCA19,dlc_h4_submarine_sinking_sounds
