hash,key
79,mpsv_lp0_31
30313,mp1_gen9_exclusive_gen_bs
88023,mp0_discount_hsw_mod20
184672,mp1_dsp_ctl_played_bit_set
218734,mp0_lfetime_ie_mission_earnings
297915,char_carmodwheels_viewed_1
361064,mp0_mpsv_flags_148
499071,mp0_impexppstat_int153
508295,mp1_businessbatpstat_int52
544856,sp1_helis_exploded
557493,mpsv_impound_time_287
748653,mp1_car_sold_time_5
1008280,impexppstat_int23
1159907,mp0_businessbatpstat_int32
1233433,mp0_char_kit_fm_purchase12
1353637,mp1_is_char_in_speccam_miss
1395936,admin_clothes_rm_bs_26
1484366,mp1_stngnmp_enemy_kills
1577090,mp1_monster5_kin_enemy_kills
1841105,lrpstat_int53
1908307,mpsv_impound_time_123
2010081,char_kit_40_fm_unlck
2068685,mp0_admin_clothes_gv_bs_13
2133386,impexppstat_int365
2233636,shopfm_clothes_l_02_gs
2291149,sp0_asltsmg_hits
2483003,mp1_mpsv_premium_paid_99
2555723,mp1_fixerpstat_int42
2609803,mp1_scarab2_las_enemy_kills
2656831,mpsv_impound_time_90
2694138,mp1_arenawarspstat_int224
2787118,mp0_twr_score_8
2866532,mp0_hydra_rocket_shots
2874544,mp0_impexppstat_int166
3040476,sp1_revolver_kills
3161425,mp1_stungun_heldtime
3210364,mp0_mpsv_price_paid_319
3403985,helphuntingpack
3464226,mp1_mpsv_flags_102
3499980,vigilante_mg_shots
3508126,mpply_silver_intply_1
3697362,mp1_truck_defence_setting
3790007,mp1_mpsv_vehicle_bs_330
3956542,mp0_hits_peds_vehicles
4085287,mp1_casinopstat_int106
4092340,mp1_impexppstat_int445
4132017,mp0_mpsv_vehicle_bs_202
4182531,mp0_dlc_apparel_used_206
4607350,sp0_weap_addon_view_1
4616665,mp0_su20pstat_int46
4682204,mp1_tupstat_int85
4754814,mp1_tunerpstat_int2
4875082,adversary_promo_help2
4947081,mp0_mpsv_price_paid_349
4978910,mp1_apapstat_int48
4986616,mp0_gangopspstat_int100
5036700,mpsv_obtained_time_121
5070809,mp0_casinopstat_int19
5082630,mp0_starter_out1
5144617,mpsv_premium_paid_144
5189448,mp1_mpsv_vehicle_bs_13
5201128,mp0_mpsv_premium_paid_59
5204838,userid_boss
5317572,mp0_pounder2_barr_shots
5545033,mp0_impexppstat_int173
5815712,mp1_gangopspstat_int61
5883757,mp0_patrolboat_turr_kills
6002481,ch_arc_love_level9
6111279,mp1_mpsv_price_paid_83
6252675,mp0_ulp_mission_current
6268272,mp1_mpsv_impound_time_171
6380380,mp1_fixer_veh_help
6436254,mp1_gettruckinitials_8
6441690,mp1_damage_scar_forceframe_0
6603389,mp1_casinohstpstat_int100
6653984,impexppstat_int303
6728934,mp0_overlay_body_2
6767123,badland_initials_3
6837448,mp0_dlc12022pstat_int37
7009742,mp0_ngdlcpstat_int1
7066833,sp0_mg_deaths
7075510,mp0_bkr_prod_stop_cout_s3_4
7134249,mpsv_model_96
7140284,mp0_damage_scar_forceframe_10
7374835,mp0_tula_singlemg_hits
7402947,arenawarspstat_int163
7489188,mp1_mpsv_vehicle_bs_188
7639148,mp1_bunker_staff
7665644,sp0_rhino_rocket_heldtime
7797771,mp1_mpsv_vehicle_bs_201
7849757,mp0_rcmine_emp_enemy_kills
8018377,mp1_countermeasure_control
8112409,mp0_deathbike_mini_hits
8191854,mp0_dominator5_mg50_shots
8215309,railgun_aquired_as_gift
8245501,arenawarspstat_int341
8353772,yacht_defence_setting
8369402,mp0_betamount
8458312,mp1_jb7002_mg_deaths
8530887,mp1_fixerpstat_int104
8549782,spcarbine_shots
8671413,mp0_dlc_apparel_acquired_224
8750149,mp1_missionforfactory1
8765208,weap_unlock_0
8782785,vom_ow1
8792762,mp0_warehouse_crates54
8917069,mp0_tupstat_int94
9048249,mp1_asltsmg_in_possession
9102554,mp1_mpsv_vehicle_bs_296
9257968,mp0_tampa3_dmini_heldtime
9329506,cnt_ow2
9367209,mp1_casinopstat_int41
9421889,mp1_awd_watch_your_step
9622191,mp0_hangar_contraband_mission
9809026,mp0_gusnbrg_deaths
9857390,mpgen_tempstatint
10206324,mp1_cbnr_mk2_hits
10235715,mp1_gangopspstat_int10
10246571,mp0_mkrifle_mk2_db_heldtime
10534571,mp0_is_char_in_speccam_ctf
10546019,impexppstat_int12
10633163,mp0_admin_veh_gv_bs_18
10652704,mp0_mpsv_impound_time_137
10757068,mp0_mpsv_obtained_time_46
10827444,mp1_tunerpstat_int114
10936499,mpsv_flags_222
11427963,mp0_char_kit_22_fm_equip
11497748,mp1_nightclub_mod_6
11651158,mpsv_price_paid_293
12027550,mp0_firework_type_2_white
12184855,char_hair_unlck10
12254312,mp0_issi5_mg50_enemy_kills
12261419,mp0_footage_initials_7
12281101,mp0_casinohstpstat_int55
12292528,mp1_impexppstat_int632
12302657,mp0_mpsv_premium_paid_124
12452743,mp0_volatol_mg_enemy_kills
12776524,sp2_most_flips_in_one_jump
13182012,sp1_pump_headshots
13256709,mp1_bruiser2_mg50_hits
13319293,mp0_pass_db_hits_peds_vehicles
13353534,mp1_avenger_cannon_kills
13398745,weap_addon_view_1
13650486,mp0_gangopspstat_int80
13728965,impexppstat_int241
13744582,contact_miss_rank
13762514,casinopstat_int43
13776219,mp0_arenawarspstat_int196
13909686,mp1_businessbatpstat_int194
13934563,helpbemyvalen
14030061,mp0_char_carpaintsec_view_5
14174866,mp0_technical3_turr_deaths
14205447,mp0_impexppstat_int627
14309607,mp0_casinohstpstat_int25
14434664,mp0_paragon2_mg_shots
14926668,h3opt_keylevels
14957356,mp0_char_mission_passed
15252907,mp0_impexppstat_int668
15287565,cmbmg_mk2_headshots
15368844,impexppstat_int680
15509751,mp0_strikeforce_mis_shots
15561329,impexppstat_int710
15682368,speedo4_mini_deaths
15683765,mp0_businessbatpstat_int289
15802104,mp0_guntatpstat_bool3
15859820,mpsv_premium_paid_133
15867293,mpsv_impound_time_104
15874616,sp1_pistol_deaths
16056940,impexppstat_int291
16173823,tattoo_fm_current_25
16175828,mp1_bikepstat_int77
16243135,mp1_rpg_in_possession
16253165,mp1_fixerpstat_int41
16515143,sp1_time_swimming
16557281,mp0_fixertattoostat_bool0
16608918,mp0_dlc_apparel_acquired_153
16613100,payresupplytimer5
16781834,player_headshots
16818787,dlc_apparel_used_223
16920059,mpsv_price_paid_216
17228853,mp1_mpsv_obtained_time_102
17327416,mp0_dg_monkey_initials_4
17369688,mp1_heist_session_id_postime
17484895,mp1_ggsm_initials_5
