hash,key
0x0000004F,mpsv_lp0_31
0x0002D160,mp1_dsp_ctl_played_bit_set
0x0003566E,mp0_lfetime_ie_mission_earnings
0x00048BBB,char_carmodwheels_viewed_1
0x00058268,mp0_mpsv_flags_148
0x00079D7F,mp0_impexppstat_int153
0x0007C187,mp1_businessbatpstat_int52
0x00085058,sp1_helis_exploded
0x000881B5,mpsv_impound_time_287
0x000B6C6D,mp1_car_sold_time_5
0x000F6298,impexppstat_int23
0x0011B2E3,mp0_businessbatpstat_int32
0x0012D219,mp0_char_kit_fm_purchase12
0x0014A7A5,mp1_is_char_in_speccam_miss
0x00154CE0,admin_clothes_rm_bs_26
0x00181082,mp1_monster5_kin_enemy_kills
0x001C17D1,lrpstat_int53
0x001D1E53,mpsv_impound_time_123
0x001EABE1,char_kit_40_fm_unlck
0x001F90CD,mp0_admin_clothes_gv_bs_13
0x00208D8A,impexppstat_int365
0x00221524,shopfm_clothes_l_02_gs
0x0022F5CD,sp0_asltsmg_hits
0x0025E33B,mp1_mpsv_premium_paid_99
0x0027D28B,mp1_scarab2_las_enemy_kills
0x00288A3F,mpsv_impound_time_90
0x00291BFA,mp1_arenawarspstat_int224
0x002A872E,mp0_twr_score_8
0x002BBD64,mp0_hydra_rocket_shots
0x002BDCB0,mp0_impexppstat_int166
0x002E64DC,sp1_revolver_kills
0x00303D51,mp1_stungun_heldtime
0x0033F0D1,helphuntingpack
0x0034DC22,mp1_mpsv_flags_102
0x003567CC,vigilante_mg_shots
0x0035879E,mpply_silver_intply_1
0x00386AD2,mp1_truck_defence_setting
0x003C5F3E,mp0_hits_peds_vehicles
0x003E5627,mp1_casinopstat_int106
0x003E71B4,mp1_impexppstat_int445
0x003F0CB1,mp0_mpsv_vehicle_bs_202
0x003FD203,mp0_dlc_apparel_used_206
0x00464D76,sp0_weap_addon_view_1
0x004671D9,mp0_su20pstat_int46
0x004771DC,mp1_tupstat_int85
0x004A634A,adversary_promo_help2
0x004BF8DE,mp1_apapstat_int48
0x004C16F8,mp0_gangopspstat_int100
0x004CDA9C,mpsv_obtained_time_121
0x004D5FD9,mp0_casinopstat_int19
0x004D8E06,mp0_starter_out1
0x004E8029,mpsv_premium_paid_144
0x004F2F48,mp1_mpsv_vehicle_bs_13
0x004F5CE8,mp0_mpsv_premium_paid_59
0x004F6B66,userid_boss
0x005123C4,mp0_pounder2_barr_shots
0x00549C49,mp0_impexppstat_int173
0x0058BDA0,mp1_gangopspstat_int61
0x005B9731,ch_arc_love_level9
0x005D402F,mp1_mpsv_price_paid_83
0x005FA570,mp1_mpsv_impound_time_171
0x0062359E,mp1_gettruckinitials_8
0x00624ADA,mp1_damage_scar_forceframe_0
0x0064C27D,mp1_casinohstpstat_int100
0x00658820,impexppstat_int303
0x0066ACE6,mp0_overlay_body_2
0x00674213,badland_initials_3
0x006AF5CE,mp0_ngdlcpstat_int1
0x006BD4D1,sp0_mg_deaths
0x006BF6B6,mp0_bkr_prod_stop_cout_s3_4
0x006CDC29,mpsv_model_96
0x006CF3BC,mp0_damage_scar_forceframe_10
0x007087F3,mp0_tula_singlemg_hits
0x0070F5C3,arenawarspstat_int163
0x007246A4,mp1_mpsv_vehicle_bs_188
0x0074906C,mp1_bunker_staff
0x0074F7EC,sp0_rhino_rocket_heldtime
0x0076FC0B,mp1_mpsv_vehicle_bs_201
0x0077C71D,mp0_rcmine_emp_enemy_kills
0x007A59C9,mp1_countermeasure_control
0x007BC919,mp0_deathbike_mini_hits
0x007CFF6E,mp0_dominator5_mg50_shots
0x007D5B0D,railgun_aquired_as_gift
0x007DD0FD,arenawarspstat_int341
0x007F77EC,yacht_defence_setting
0x007FB4FA,mp0_betamount
0x00811048,mp1_jb7002_mg_deaths
0x00827596,spcarbine_shots
0x008450B5,mp0_dlc_apparel_acquired_224
0x00858445,mp1_missionforfactory1
0x0085BF18,weap_unlock_0
0x008603C1,vom_ow1
0x00862ABA,mp0_warehouse_crates54
0x0088104D,mp0_tupstat_int94
0x008A10B9,mp1_asltsmg_in_possession
0x008AE4DA,mp1_mpsv_vehicle_bs_296
0x008D43F0,mp0_tampa3_dmini_heldtime
0x008E5B62,cnt_ow2
0x008EEEA9,mp1_casinopstat_int41
0x008FC441,mp1_awd_watch_your_step
0x0092D2AF,mp0_hangar_contraband_mission
0x0095AC82,mp0_gusnbrg_deaths
0x0096696E,mpgen_tempstatint
0x009BBC74,mp1_cbnr_mk2_hits
0x009C2F43,mp1_gangopspstat_int10
0x009C59AB,mp0_mkrifle_mk2_db_heldtime
0x00A0BEAB,mp0_is_char_in_speccam_ctf
0x00A0EB63,impexppstat_int12
0x00A28C20,mp0_mpsv_impound_time_137
0x00A423CC,mp0_mpsv_obtained_time_46
0x00A6E0B3,mpsv_flags_222
0x00AE607B,mp0_char_kit_22_fm_equip
0x00AF7114,mp1_nightclub_mod_6
0x00B1C856,mpsv_price_paid_293
0x00B7869E,mp0_firework_type_2_white
0x00B9ED17,char_hair_unlck10
0x00BAFC68,mp0_issi5_mg50_enemy_kills
0x00BB650D,mp0_casinohstpstat_int55
0x00BB91B0,mp1_impexppstat_int632
0x00BBB941,mp0_mpsv_premium_paid_124
0x00BE0387,mp0_volatol_mg_enemy_kills
0x00C2F44C,sp2_most_flips_in_one_jump
0x00C9243C,sp1_pump_headshots
0x00CA4805,mp1_bruiser2_mg50_hits
0x00CB3C7D,mp0_pass_db_hits_peds_vehicles
0x00CBC23E,mp1_avenger_cannon_kills
0x00CC72D9,weap_addon_view_1
0x00D04A36,mp0_gangopspstat_int80
0x00D17CC5,impexppstat_int241
0x00D1B9C6,contact_miss_rank
0x00D1FFD2,casinopstat_int43
0x00D2355B,mp0_arenawarspstat_int196
