hash,key
0x00675ED7,chimera
0x00ABB0C0,carbonrs
0x00E83C17,hermes
0x00FDFFB0,virgo3
0x0239E390,hotknife
0x02E19879,tiptruck
0x0350D1AB,faggio2
0x03E5F6B8,youga
0x0409D787,yosemite3
0x047A6BC1,glendale
0x04CE68AC,dominator
0x04F48FC4,rebla
0x05283265,bf400
0x05852838,kalahari
0x0612F4B6,trophytruck
0x067BC037,coquette
0x06FF6914,btype
0x07405E08,boxville3
0x08852855,baller2
0x097E5533,ardent
0x09D80F93,miljet
0x0A90ED5C,phantom3
0x0AFD22A6,freightcar
0x0BBA2261,elegy
0x0D17099D,speedo4
0x0D4E5F4D,cheetah2
0x0D4EA603,sabregt2
0x0DC60D2B,speeder
0x0DF381E5,reaper
0x0E2C013E,buffalo3
0x0E512E79,freightcont2
0x1044926F,tempesta
0x107F392C,dinghy2
0x1149422F,tropic
0x11962E49,annihilator2
0x11AA0E14,gburrito2
0x11CBC051,verus
0x11F58A5A,stryder
0x11F76C14,hexer
0x127E90D5,dynasty
0x1324E960,stafford
0x132D5A1A,crusader
0x13B57D8A,cogcabrio
0x142E0DC3,vacca
0x1446590A,formula
0x149BD32A,pbus2
0x14D22159,gauntlet2
0x14D69010,chino
0x1517D4D9,polmav
0x153E1B0A,proptrailer
0x15F27762,cargoplane
0x163F8520,slamvan5
0x16E478C1,surano
0x171C92C4,hauler2
0x17420102,cliffhanger
0x174CB172,raketrailer
0x177DA45C,jb7002
0x17DF5EC2,squalo
0x185484E1,turismor
0x185E2FF3,outlaw
0x18606535,avenger2
0x18619B7E,kanjo
0x187D938D,kuruma2
0x18F25AC7,infernus
0x19DD9ED1,nightshark
0x1A144F2A,speeder2
0x1A79847A,boxville4
0x1A7FCEFA,handler
0x1A861243,imperator
0x1AAD0DED,volatol
0x1ABA13B5,cruiser
0x1B38E955,policet
0x1BB290BC,tornado
0x1BF8D381,lguard
0x1C09CF5E,baller5
0x1C534995,mixer2
0x1CBDC10B,lynx
0x1D06D681,huntley
0x1DC0BA53,fusilade
0x1DD4C0FF,swinger
0x1E5E54EA,dinghy3
0x1ED0A534,utillitruck
0x1F3766E3,voodoo2
0x1F3D44B5,boattrailer
0x1F52A43F,moonbeam
0x1FD824AF,dune2
0x20314B42,zr380
0x206D1B68,khamelion
0x2189D250,apc
0x21EEE87D,packer
0x22EDDC30,tankercar
0x23CA25F2,hustler
0x250B0C5E,luxor
0x2560B2FC,romero
0x25676EAF,fcr
0x256E92BA,issi4
0x2592B5CF,barracks3
0x25C5AF13,banshee2
0x25CBE2E2,baller4
0x26321E67,lectro
0x264D9262,freightgrain
0x276D98A3,comet5
0x27B4E6B0,baller6
0x27D79225,bruiser
0x287FA449,cerberus2
0x28AD20E1,boxville5
0x28B67ACA,contender
0x28EAB80F,drafter
0x29B0DA97,surfer
0x29FCD3E4,cog552
0x2A54C47D,supervolito
0x2A72BEAB,trailersmall
0x2AE524A8,ruston
0x2B0C4DCD,gauntlet3
0x2B26F456,dukes
0x2B6DC64A,speedo2
0x2B7F9DE3,slamvan
0x2BC345D1,sadler2
0x2BEC3CBE,buffalo2
0x2C1FEA99,vagrant
0x2C2C2324,gargoyle
0x2C33B46E,pranger
0x2C509634,sovereign
0x2C634FBD,frogger
0x2C75F0DD,buzzard2
0x2D3BD401,ztype
0x2DB8D1AA,alpha
0x2DFF622F,submersible
0x2E5AFD37,ruiner3
0x2EA68690,rhino
0x2EC385FE,coquette3
0x2EF89E46,sanchez
0x2F03547B,buzzard
0x30D3F6D8,sheava
0x30FF0190,defiler
0x31ADBBFC,slamvan2
0x31F0B376,annihilator
0x3201DD49,z190
0x32174AFC,monster4
0x322CF98F,rhapsody
0x32B29A4B,bjxl
0x32B91AE8,biff
0x33581161,jetmax
0x33B47F96,dinghy4
0x33B98FE2,pariah
0x33C9E158,metrotrain
0x3404691C,sultan2
0x3412AE2D,sentinel2
0x34B7390F,habanero
0x34B82784,oppressor
0x34DBA661,stromberg
0x34DD8AA1,intruder
0x34E6BF6B,utillitruck2
0x353B561D,burrito4
0x35DED0DD,savestra
0x35ED670B,mule
0x360A438E,cog55
0x362CAC6D,toro2
0x36848602,mesa
0x36A167E0,rrocket
0x36B4A8A9,xa21
0x36DCFF98,freightcont1
0x378236E1,issi3
0x381E10BD,ruiner2
0x3822BDFE,casco
0x38408341,pony2
0x3944D5A0,furia
0x39D6779E,duster
0x39D6E83F,hydra
0x39DA2754,sultan
0x39F9C898,tampa
0x3ADB9758,sugoi
0x3AF76F4A,voltic2
0x3AF8C345,sandking2
0x3C26BD0C,impaler2
0x3C4E2113,coquette2
0x3CC7F596,graintrailer
0x3D29CD2B,youga2
0x3D6AAA9B,freight
0x3D7C6410,tezeract
0x3D8FA25C,ninef
0x3D961290,dinghy
0x3DA47243,nero
0x3DC92356,nokota
0x3DEE5EDA,blista2
0x3E2E4F8A,tula
0x3E3D1F59,thrax
0x3E48BF23,skylift
0x3E5BD8D9,michelli
0x3EAB5555,jb700
0x3F119114,jet
0x3FC5D440,bobcatxl
0x3FD5AA2F,toro
0x4008EABB,barracks2
0x400F5147,specter2
0x4019CB4C,swift2
0x403820E8,velum2
0x404B6381,pigalle
0x40C332A3,manchez2
0x4131F378,nero2
0x41B77FA4,verlierer2
0x41D149AA,sentinel3
0x4201A843,peyote3
0x42836BE5,hotring
0x42ACA95F,asbo
0x42BC5E19,slamvan3
0x42F2ED16,superd
0x432AA566,bfinjection
0x432EA949,fbi
0x4339CD69,tribike
0x43779C54,bmx
0x437CF2A0,burrito5
0x44623884,caddy
0x4543B74D,rumpo
0x45D56ADA,ambulance
0x462FE277,dubsta
0x4662BCBB,technical2
0x46699F47,akula
0x4669D038,openwheel2
0x47BBCF2E,xls
0x48CECED3,seminole
0x494752F7,seasparrow2
0x49863E9C,marshall
0x4992196C,gp1
0x49E25BA1,issi6
0x4ABEBF23,caracara
0x4B6C568A,hakuchou
0x4BA4E8DC,landstalker
0x4BFCF28B,bestiagts
0x4C3FFF49,deviant
0x4C80EB0E,airbus
0x4C8DBA51,zhaba
0x4EE74355,emerus
