hash,key
0x01B79F17,weapon_briefcase_02
0x02FCC0F9,vehicle_weapon_ruiner_bullet
0x03BF5575,weapon_snowlauncher
0x050DC6AB,vehicle_weapon_ruiner_rocket
0x05A2B311,weapon_cow
0x05A96BA4,weapon_combatshotgun
0x05FC3C11,weapon_sniperrifle
0x060EC506,weapon_fireextinguisher
0x0781FE4A,weapon_compactlauncher
0x0787F0BB,weapon_snowball
0x07FC7D7A,weapon_rammed_by_car
0x083839C4,weapon_vintagepistol
0x08D4BE52,weapon_cougar
0x0924A5F5,vehicle_weapon_hunter_missile
0x097273CD,vehicle_weapon_rogue_mg
0x09A8EA9A,vehicle_weapon_pounder2_missile
0x0A3D4D34,weapon_combatpdw
0x0A914799,weapon_heavysniper_mk2
0x0B56E4E4,vehicle_weapon_apc_mg
0x0C472FE2,weapon_heavysniper
0x0D28BCA3,vehicle_weapon_bomb_cluster
0x0DCE6112,vehicle_weapon_scramjet_mg
0x12E82D3D,weapon_autoshotgun
0x13532244,weapon_microsmg
0x13579279,weapon_airstrike_rocket
0x138F71D8,vehicle_weapon_apc_cannon
0x145599F7,vehicle_weapon_trailer_missile
0x145F1012,weapon_heli_crash
0x14E5AFD5,weapon_tecpistol
0x166218FF,weapon_passenger_rocket
0x1670C4A8,vehicle_weapon_tula_minigun
0x178605E2,vehicle_weapon_khanjali_gl
0x184140A1,weapon_fertilizercan
0x19044EE0,weapon_wrench
0x19B95679,vehicle_weapon_akula_minigun
0x1B06D571,weapon_pistol
0x1BC4FDB9,weapon_pistolxm3
0x1C6D0842,vehicle_weapon_akula_turret_dual
0x1CF5FA48,weapon_hackingdevice
0x1D073A89,weapon_pumpshotgun
0x1D43CE24,vehicle_weapon_deathbike_dualminigun
0x1E3ACFA0,vehicle_weapon_khanjali_cannon
0x1EF01D8A,vehicle_weapon_strikeforce_missile
0x1F545F65,vehicle_weapon_barrage_rear_minigun
0x2024F4E8,weapon_explosion
0x217FEF28,vehicle_weapon_scarab_50cal
0x220093BC,vehicle_weapon_zr3802_50cal_laser
0x22D8FE39,weapon_appistol
0x23C9F95C,weapon_ball
0x24B17070,weapon_molotov
0x252AF560,vehicle_weapon_mine_kinetic_rc
0x2A00AB1A,vehicle_weapon_hunter_cannon
0x2A6F8E1D,vehicle_weapon_khanjali_mg
0x2B5EF5EC,weapon_ceramicpistol
0x2B796481,vehicle_weapon_turret_limo
0x2BE6766B,weapon_smg
0x2C082D7D,weapon_air_defence_gun
0x2C2B2D58,vehicle_weapon_bombushka_dualmg
