hash,key
62870901,weapon_snowlauncher
94989220,weapon_combatshotgun
100416529,weapon_sniperrifle
101631238,weapon_fireextinguisher
125959754,weapon_compactlauncher
126349499,weapon_snowball
137902532,weapon_vintagepistol
171789620,weapon_combatpdw
177293209,weapon_heavysniper_mk2
205991906,weapon_heavysniper
317205821,weapon_autoshotgun
324215364,weapon_microsmg
406929569,weapon_fertilizercan
419712736,weapon_wrench
453432689,weapon_pistol
465894841,weapon_pistolxm3
485882440,weapon_hackingdevice
487013001,weapon_pumpshotgun
584646201,weapon_appistol
600439132,weapon_ball
615608432,weapon_molotov
727643628,weapon_ceramicpistol
736523883,weapon_smg
741814745,weapon_stickybomb
849905853,weapon_tranquilizer
883325847,weapon_petrolcan
911657153,weapon_stungun
940833800,weapon_stone_hatchet
961495388,weapon_assaultrifle_mk2
984333226,weapon_heavyshotgun
1119849093,weapon_minigun
1141786504,weapon_golfclub
1171102963,weapon_stungun_mp
1198256469,weapon_raycarbine
1198879012,weapon_flaregun
1233104067,weapon_flare
1305664598,weapon_grenadelauncher_smoke
1317494643,weapon_hammer
1432025498,weapon_pumpshotgun_mk2
1470379660,weapon_gadgetpistol
1593441988,weapon_combatpistol
1627465347,weapon_gusenberg
1649403952,weapon_compactrifle
1672152130,weapon_hominglauncher
1703483498,weapon_candycane
1737195953,weapon_nightstick
1752584910,weapon_stinger
1785463520,weapon_marksmanrifle_mk2
1834241177,weapon_railgun
1853742572,weapon_precisionrifle
1924557585,weapon_battlerifle
2017895192,weapon_sawnoffshotgun
2024373456,weapon_smg_mk2
2132975508,weapon_bullpuprifle
2138347493,weapon_firework
2144741730,weapon_combatmg
-2084633992,weapon_carbinerifle
-2067956739,weapon_crowbar
-2066285827,weapon_bullpuprifle_mk2
-2009644972,weapon_snspistol_mk2
-1951375401,weapon_flashlight
-1853920116,weapon_navyrevolver
-1834847097,weapon_dagger
-1813897027,weapon_grenade
-1810795771,weapon_poolcue
-1786099057,weapon_bat
-1768145561,weapon_specialcarbine_mk2
-1746263880,weapon_doubleaction
-1716589765,weapon_pistol50
-1716189206,weapon_knife
-1660422300,weapon_mg
-1658906650,weapon_militaryrifle
-1654528753,weapon_bullpupshotgun
-1600701090,weapon_bzgas
-1568386805,weapon_grenadelauncher
-1466123874,weapon_musket
-1420407917,weapon_proxmine
-1357824103,weapon_advancedrifle
-1355376991,weapon_raypistol
-1312131151,weapon_rpg
-1238556825,weapon_rayminigun
-1169823560,weapon_pipebomb
-1168940174,weapon_hazardcan
-1121678507,weapon_minismg
-1076751822,weapon_snspistol
-1075685676,weapon_pistol_mk2
-1074790547,weapon_assaultrifle
-1063057011,weapon_specialcarbine
-1045183535,weapon_revolver
-952879014,weapon_marksmanrifle
-947031628,weapon_heavyrifle
-879347409,weapon_revolver_mk2
-853065399,weapon_battleaxe
-774507221,weapon_tacticalrifle
-771403250,weapon_heavypistol
-656458692,weapon_knuckle
-619010992,weapon_machinepistol
-618237638,weapon_emplauncher
-610080759,weapon_metaldetector
-608341376,weapon_combatmg_mk2
-598887786,weapon_marksmanpistol
-581044007,weapon_machete
-538741184,weapon_switchblade
-494615257,weapon_assaultshotgun
-275439685,weapon_dbshotgun
-270015777,weapon_assaultsmg
-135142818,weapon_acidpackage
-102973651,weapon_hatchet
-102323637,weapon_bottle
-86904375,weapon_carbinerifle_mk2
-37975472,weapon_smokegrenade
-22923932,weapon_railgunxm3
