hash,key
94989220,weapon_combatshotgun
100416529,weapon_sniperrifle
101631238,weapon_fireextinguisher
125959754,weapon_compactlauncher
126349499,weapon_snowball
137902532,weapon_vintagepistol
171789620,weapon_combatpdw
177293209,weapon_heavysniper_mk2
205991906,weapon_heavysniper
317205821,weapon_autoshotgun
324215364,weapon_microsmg
406929569,weapon_fertilizercan
419712736,weapon_wrench
453432689,weapon_pistol
465894841,weapon_pistolxm3
487013001,weapon_pumpshotgun
584646201,weapon_appistol
600439132,weapon_ball
615608432,weapon_molotov
727643628,weapon_ceramicpistol
736523883,weapon_smg
741814745,weapon_stickybomb
849905853,weapon_tranquilizer
883325847,weapon_petrolcan
911657153,weapon_stungun
940833800,weapon_stone_hatchet
961495388,weapon_assaultrifle_mk2
984333226,weapon_heavyshotgun
1119849093,weapon_minigun
1141786504,weapon_golfclub
1171102963,weapon_stungun_mp
1198256469,weapon_raycarbine
1198879012,weapon_flaregun
1233104067,weapon_flare
1305664598,weapon_grenadelauncher_smoke
1317494643,weapon_hammer
1432025498,weapon_pumpshotgun_mk2
1470379660,weapon_gadgetpistol
1593441988,weapon_combatpistol
1627465347,weapon_gusenberg
1649403952,weapon_compactrifle
1672152130,weapon_hominglauncher
1703483498,weapon_candycane
1737195953,weapon_nightstick
1752584910,weapon_stinger
1785463520,weapon_marksmanrifle_mk2
1834241177,weapon_railgun
1853742572,weapon_precisionrifle
2017895192,weapon_sawnoffshotgun
2024373456,weapon_smg_mk2
2132975508,weapon_bullpuprifle
2138347493,weapon_firework
2144741730,weapon_combatmg
2210333304,weapon_carbinerifle
2227010557,weapon_crowbar
2228681469,weapon_bullpuprifle_mk2
2285322324,weapon_snspistol_mk2
2343591895,weapon_flashlight
2441047180,weapon_navyrevolver
2460120199,weapon_dagger
2481070269,weapon_grenade
2484171525,weapon_poolcue
2508868239,weapon_bat
2526821735,weapon_specialcarbine_mk2
2548703416,weapon_doubleaction
2578377531,weapon_pistol50
2578778090,weapon_knife
2634544996,weapon_mg
2636060646,weapon_militaryrifle
2640438543,weapon_bullpupshotgun
2694266206,weapon_bzgas
2726580491,weapon_grenadelauncher
2828843422,weapon_musket
2874559379,weapon_proxmine
2937143193,weapon_advancedrifle
2939590305,weapon_raypistol
2982836145,weapon_rpg
3056410471,weapon_rayminigun
3125143736,weapon_pipebomb
3126027122,weapon_hazardcan
3173288789,weapon_minismg
3218215474,weapon_snspistol
3219281620,weapon_pistol_mk2
3220176749,weapon_assaultrifle
3231910285,weapon_specialcarbine
3249783761,weapon_revolver
3342088282,weapon_marksmanrifle
3347935668,weapon_heavyrifle
3415619887,weapon_revolver_mk2
3441901897,weapon_battleaxe
3520460075,weapon_tacticalrifle
3523564046,weapon_heavypistol
3638508604,weapon_knuckle
3675956304,weapon_machinepistol
3676729658,weapon_emplauncher
3684886537,weapon_metaldetector
3686625920,weapon_combatmg_mk2
3696079510,weapon_marksmanpistol
3713923289,weapon_machete
3756226112,weapon_switchblade
3800352039,weapon_assaultshotgun
4019527611,weapon_dbshotgun
4024951519,weapon_assaultsmg
4159824478,weapon_acidpackage
4191993645,weapon_hatchet
4192643659,weapon_bottle
4208062921,weapon_carbinerifle_mk2
4256991824,weapon_smokegrenade
4272043364,weapon_railgunxm3
