hash,key
0x05A96BA4,weapon_combatshotgun
0x05FC3C11,weapon_sniperrifle
0x060EC506,weapon_fireextinguisher
0x0781FE4A,weapon_compactlauncher
0x0787F0BB,weapon_snowball
0x083839C4,weapon_vintagepistol
0x0A3D4D34,weapon_combatpdw
0x0A914799,weapon_heavysniper_mk2
0x0C472FE2,weapon_heavysniper
0x12E82D3D,weapon_autoshotgun
0x13532244,weapon_microsmg
0x184140A1,weapon_fertilizercan
0x19044EE0,weapon_wrench
0x1B06D571,weapon_pistol
0x1BC4FDB9,weapon_pistolxm3
0x1D073A89,weapon_pumpshotgun
0x22D8FE39,weapon_appistol
0x23C9F95C,weapon_ball
0x24B17070,weapon_molotov
0x2B5EF5EC,weapon_ceramicpistol
0x2BE6766B,weapon_smg
0x2C3731D9,weapon_stickybomb
0x32A888BD,weapon_tranquilizer
0x34A67B97,weapon_petrolcan
0x3656C8C1,weapon_stungun
0x3813FC08,weapon_stone_hatchet
0x394F415C,weapon_assaultrifle_mk2
0x3AABBBAA,weapon_heavyshotgun
0x42BF8A85,weapon_minigun
0x440E4788,weapon_golfclub
0x45CD9CF3,weapon_stungun_mp
0x476BF155,weapon_raycarbine
0x47757124,weapon_flaregun
0x497FACC3,weapon_flare
0x4DD2DC56,weapon_grenadelauncher_smoke
0x4E875F73,weapon_hammer
0x555AF99A,weapon_pumpshotgun_mk2
0x57A4368C,weapon_gadgetpistol
0x5EF9FEC4,weapon_combatpistol
0x61012683,weapon_gusenberg
0x624FE830,weapon_compactrifle
0x63AB0442,weapon_hominglauncher
0x6589186A,weapon_candycane
0x678B81B1,weapon_nightstick
0x687652CE,weapon_stinger
0x6A6C02E0,weapon_marksmanrifle_mk2
0x6D544C99,weapon_railgun
0x6E7DDDEC,weapon_precisionrifle
0x7846A318,weapon_sawnoffshotgun
0x78A97CD0,weapon_smg_mk2
0x7F229F94,weapon_bullpuprifle
0x7F7497E5,weapon_firework
0x7FD62962,weapon_combatmg
0x83BF0278,weapon_carbinerifle
0x84BD7BFD,weapon_crowbar
0x84D6FAFD,weapon_bullpuprifle_mk2
0x88374054,weapon_snspistol_mk2
0x8BB05FD7,weapon_flashlight
0x917F6C8C,weapon_navyrevolver
0x92A27487,weapon_dagger
0x93E220BD,weapon_grenade
0x94117305,weapon_poolcue
0x958A4A8F,weapon_bat
0x969C3D67,weapon_specialcarbine_mk2
0x97EA20B8,weapon_doubleaction
0x99AEEB3B,weapon_pistol50
0x99B507EA,weapon_knife
0x9D07F764,weapon_mg
0x9D1F17E6,weapon_militaryrifle
0x9D61E50F,weapon_bullpupshotgun
0xA0973D5E,weapon_bzgas
0xA284510B,weapon_grenadelauncher
0xA89CB99E,weapon_musket
0xAB564B93,weapon_proxmine
0xAF113F99,weapon_advancedrifle
0xAF3696A1,weapon_raypistol
0xB1CA77B1,weapon_rpg
0xB62D1F67,weapon_rayminigun
0xBA45E8B8,weapon_pipebomb
0xBA536372,weapon_hazardcan
0xBD248B55,weapon_minismg
0xBFD21232,weapon_snspistol
0xBFE256D4,weapon_pistol_mk2
0xBFEFFF6D,weapon_assaultrifle
0xC0A3098D,weapon_specialcarbine
0xC1B3C3D1,weapon_revolver
0xC734385A,weapon_marksmanrifle
0xC78D71B4,weapon_heavyrifle
0xCB96392F,weapon_revolver_mk2
0xCD274149,weapon_battleaxe
0xD1D5F52B,weapon_tacticalrifle
0xD205520E,weapon_heavypistol
0xD8DF3C3C,weapon_knuckle
0xDB1AA450,weapon_machinepistol
0xDB26713A,weapon_emplauncher
0xDBA2E809,weapon_metaldetector
0xDBBD7280,weapon_combatmg_mk2
0xDC4DB296,weapon_marksmanpistol
0xDD5DF8D9,weapon_machete
0xDFE37640,weapon_switchblade
0xE284C527,weapon_assaultshotgun
0xEF951FBB,weapon_dbshotgun
0xEFE7E2DF,weapon_assaultsmg
0xF7F1E25E,weapon_acidpackage
0xF9DCBF2D,weapon_hatchet
0xF9E6AA4B,weapon_bottle
0xFAD1F1C9,weapon_carbinerifle_mk2
0xFDBC8A50,weapon_smokegrenade
0xFEA23564,weapon_railgunxm3
